ticker,MBIO US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-08-23,18.4694
2017-08-24,-5.4264
2017-08-25,1.5483
2017-08-28,13.901299999999999
2017-08-29,1.1811
2017-08-30,1.9455
2017-08-31,-0.916
2017-09-01,0.9245
2017-09-05,-2.7481
2017-09-06,-1.2559
2017-09-07,0.0
2017-09-08,-1.8283
2017-09-11,-2.996
2017-09-12,2.0033
2017-09-13,-2.7005
2017-09-14,1.7662
2017-09-15,0.8264
2017-09-18,0.4098
2017-09-19,1.6327
2017-09-20,-6.5944
2017-09-21,1.4705
2017-09-22,-3.5805
2017-09-25,-6.0426
2017-09-26,-2.1515
2017-09-27,8.891
2017-09-28,-2.1949
2017-09-29,6.2837
2017-10-02,-5.8277
2017-10-03,-1.1659
2017-10-04,-2.9946
2017-10-05,0.5613
2017-10-06,-4.186
2017-10-09,-0.7767
2017-10-10,-3.1311
2017-10-11,-1.0101
2017-10-12,1.2245
2017-10-13,-0.2016
2017-10-16,-0.4051
2017-10-17,-2.4331
2017-10-18,1.4033
2017-10-19,-4.6643
2017-10-20,-4.3011
2017-10-23,-1.6854
2017-10-24,2.3886
2017-10-25,-0.6586
2017-10-26,-1.3483
2017-10-27,0.5695
2017-10-30,13.137
2017-10-31,17.6176
2017-11-01,-2.4681
2017-11-02,-4.3629999999999995
2017-11-03,-6.021
2017-11-06,0.1932
2017-11-07,1.7442
2017-11-08,0.0
2017-11-09,1.7143000000000002
2017-11-10,-2.6217
2017-11-13,0.2885
2017-11-14,-6.0403
2017-11-15,1.9388
2017-11-16,-3.4034
2017-11-17,3.3161
2017-11-20,-5.4162
2017-11-21,-1.9088
2017-11-22,-2.6281
2017-11-24,0.1454
2017-11-27,-0.5543
2017-11-28,7.2464
2017-11-29,-7.6923
2017-11-30,8.6712
2017-12-01,-0.829
2017-12-04,0.7315
2017-12-05,10.6846
2017-12-06,3.8425000000000002
2017-12-07,-0.8123
2017-12-08,4.7316
2017-12-11,-3.5621
2017-12-12,-4.1441
2017-12-13,8.2707
2017-12-14,1.3889
2017-12-15,0.9418
2017-12-18,-3.6471999999999998
2017-12-19,-0.4401
2017-12-20,-3.3599
2017-12-21,4.6661
2017-12-22,3.1469
2017-12-26,-0.339
2017-12-27,-2.2959
2017-12-28,2.5239000000000003
2017-12-29,1.7827
2018-01-02,0.5004
2018-01-03,-3.5685000000000002
2018-01-04,2.4957
2018-01-05,-0.1679
2018-01-08,-0.5887
2018-01-09,-0.9306
2018-01-10,1.8787
