ticker,HSY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.2398
2000-01-04,-3.7736
2000-01-05,0.4202
2000-01-06,2.6499
2000-01-07,0.2717
2000-01-10,0.271
2000-01-11,-2.027
2000-01-12,-0.6897
2000-01-13,-0.6944
2000-01-14,-4.7552
2000-01-18,1.0279
2000-01-19,0.2907
2000-01-20,-2.1739
2000-01-21,-2.2222
2000-01-24,-2.7273
2000-01-25,-0.7788
2000-01-26,0.9419
2000-01-27,-1.8662999999999998
2000-01-28,-4.2789
2000-01-31,12.5828
2000-02-01,-4.5588
2000-02-02,0.3082
2000-02-03,1.6897
2000-02-04,0.3021
2000-02-07,-1.2048
2000-02-08,2.8963
2000-02-09,-1.037
2000-02-10,0.5988
2000-02-11,1.7856999999999998
2000-02-14,-0.731
2000-02-15,3.2401
2000-02-16,0.8559
2000-02-17,0.8487
2000-02-18,1.2623
2000-02-22,3.4626
2000-02-23,-0.6479
2000-02-24,-2.981
2000-02-25,0.838
2000-02-28,-2.2161
2000-02-29,-0.4249
2000-03-01,1.9915
2000-03-02,-2.5105
2000-03-03,-1.2876
2000-03-06,-2.1739
2000-03-07,-5.1852
2000-03-08,4.5313
2000-03-09,-1.6442
2000-03-10,-2.7356
2000-03-13,0.0
2000-03-14,2.3438
2000-03-15,6.8702
2000-03-16,9.0
2000-03-17,-3.2765
2000-03-20,1.897
2000-03-21,-0.133
2000-03-22,-3.9947
2000-03-23,0.5548
2000-03-24,-2.8966
2000-03-27,-1.8466
2000-03-28,-2.7496
2000-03-29,11.4583
2000-03-30,4.6729
2000-03-31,-0.5102
2000-04-03,-3.5897
2000-04-04,3.5904
2000-04-05,-1.4121000000000001
2000-04-06,-0.9115
2000-04-07,-2.8909000000000002
2000-04-10,0.5413
2000-04-11,3.2301
2000-04-12,2.4772
2000-04-13,-1.6539000000000001
2000-04-14,-2.5873
2000-04-17,-0.5312
2000-04-18,-0.534
2000-04-19,2.1477
2000-04-20,0.2628
2000-04-24,3.0144
2000-04-25,0.0
2000-04-26,-3.0534
2000-04-27,-1.1811
2000-04-28,-3.3201
2000-05-01,-0.4121
2000-05-02,1.2414
2000-05-03,2.5886
2000-05-04,0.3984
2000-05-05,-1.8519
2000-05-08,4.0431
2000-05-09,0.9067
2000-05-10,2.6958
2000-05-11,0.0
2000-05-12,-1.25
2000-05-15,4.4304
2000-05-16,-0.3636
2000-05-17,-2.1898
2000-05-18,0.8706
2000-05-19,-1.7263
2000-05-22,2.2585
