ticker,DLOC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-09-27,5.0
2007-09-28,4.7619
2007-10-01,-4.5455
2007-10-02,4.7619
2007-10-03,0.0
2007-10-04,-4.5455
2007-10-05,4.7619
2007-10-09,0.0
2007-10-10,0.0
2007-10-11,-18.1818
2007-10-12,22.2222
2007-10-15,0.0
2007-10-16,0.0
2007-10-17,0.0
2007-10-18,0.0
2007-10-19,0.0
2007-10-22,0.0
2007-10-23,4.5455
2007-10-24,8.6957
2007-10-25,0.0
2007-10-26,0.0
2007-10-29,0.0
2007-10-30,-4.0
2007-10-31,4.1667
2007-11-01,0.0
2007-11-02,4.0
2007-11-05,0.0
2007-11-06,0.0
2007-11-07,0.0
2007-11-08,0.0
2007-11-09,0.0
2007-11-12,-4.6154
2007-11-13,0.8065
2007-11-14,4.0
2007-11-15,0.0
2007-11-19,-11.538499999999999
2007-11-21,13.0435
2007-11-23,0.0
2007-11-26,30.7692
2007-11-27,-11.7647
2007-11-28,-13.3333
2007-11-29,-7.6923
2007-11-30,25.0
2007-12-03,0.0
2007-12-04,-3.3333
2007-12-05,-3.4483
2007-12-06,-0.8929
2007-12-07,-6.3063
2007-12-10,0.0
2007-12-11,7.6923
2007-12-12,-7.1429
2007-12-13,-3.8462
2007-12-14,16.0
2007-12-17,-6.8966
2007-12-18,-11.1111
2007-12-19,4.1667
2007-12-20,12.0
2007-12-21,0.0
2007-12-24,3.5714
2007-12-26,-3.4483
2007-12-27,-10.7143
2007-12-28,12.0
2007-12-31,0.0
2008-01-02,-5.3571
2008-01-03,9.434
2008-01-04,10.3448
2008-01-07,12.5
2008-01-08,5.5556
2008-01-09,-5.2632
2008-01-10,-5.5556
2008-01-14,11.7647
2008-01-15,-5.2632
2008-01-16,2.7778
2008-01-17,0.0
2008-01-18,-5.4054
2008-01-22,-5.7143
2008-01-23,18.1818
2008-01-24,-7.6923
2008-01-25,0.0
2008-01-28,0.0
2008-01-29,-8.3333
2008-01-30,-3.0303
2008-01-31,-3.125
2008-02-01,-3.2258
2008-02-04,16.6667
2008-02-05,0.0
2008-02-06,-11.4286
2008-02-07,6.4516
2008-02-08,-3.0303
2008-02-11,3.125
2008-02-12,-6.0606
2008-02-13,6.4516
2008-02-14,-6.0606
2008-02-15,-3.2258
2008-02-19,-10.0
2008-02-20,18.5185
2008-02-21,0.0
2008-02-22,0.0
2008-02-25,-9.375
2008-02-26,0.0
2008-02-27,-6.8966
2008-02-28,7.4074
2008-02-29,0.0
