ticker,EXCH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.3256
2000-02-15,-9.5238
2000-03-01,-21.0526
2000-03-29,20.0
2000-06-23,-15.2778
2000-08-16,13.1148
2000-10-02,-24.6377
2000-10-06,0.0
2000-10-25,36.5385
2000-12-20,-26.7606
2000-12-21,9.6154
2000-12-28,-8.7719
2000-12-29,0.0
2001-01-05,34.6154
2001-04-17,-24.2857
2001-05-01,43.3962
2001-05-21,0.0
2001-08-23,-21.0526
2001-08-24,26.6667
2002-01-03,-2.6316
2002-03-20,-5.4054
2002-09-04,9.1429
2002-10-02,1.5707
2002-11-12,13.4021
2002-12-04,0.0
2002-12-13,0.0
2002-12-20,-6.8182
2002-12-23,19.5122
2003-01-21,0.0
2003-02-04,-2.0408
2003-02-28,0.0
2003-03-14,0.0
2003-03-25,-2.0833
2003-03-26,2.1277
2003-05-12,20.8333
2003-07-17,-10.3448
2003-08-29,0.0
2003-11-11,0.0
2003-11-21,7.6923
2004-05-28,0.0
2004-06-08,4.1071
2004-06-14,-0.1715
2004-07-07,-2.0619
2004-07-12,2.6316
2004-07-13,7.6923
2004-07-14,-0.7937
2004-07-15,0.0
2004-07-30,0.8
2004-08-06,-1.5873
2004-08-11,2.4194
2004-08-27,0.7874
2004-12-20,-3.125
2005-01-03,4.0323
2005-02-02,1.7054
2005-02-07,3.6585
2005-03-22,-4.4118
2006-01-26,19.2308
2006-02-16,1.2903
2006-03-09,1.9108
2006-05-01,5.0
2006-07-20,4.7619
2006-08-14,3.4091
2007-08-16,10.4396
2007-08-29,0.995
2008-02-29,-13.3005
2008-03-10,-12.5
2008-03-19,0.6494
2008-09-19,-35.4839
2008-10-09,5.0
2008-12-05,90.4762
2008-12-17,-59.0
2009-05-06,-19.0244
2009-05-07,2.4096
2009-05-14,4.4118
2009-05-15,-0.1127
2009-08-06,12.8032
2009-09-01,0.0
2009-09-02,1.5
2009-09-15,269.4581
2009-09-17,-69.3333
2009-09-22,-10.8696
2009-10-29,21.9512
2009-11-23,-19.6
2009-11-30,-12.3881
2009-12-17,-9.1425
2009-12-22,-11.875
2010-01-15,35.461
2010-02-09,-16.2304
2010-02-10,31.25
2010-02-12,-27.381
2010-02-17,-10.1639
2010-02-22,16.7883
2010-02-25,-12.5
2010-03-03,28.5714
2010-03-10,-5.5556
2010-03-11,-17.647100000000002
2010-03-18,0.0
2010-03-29,57.1429
2010-04-15,-0.0455
2010-04-16,-31.7872
2010-05-05,26.6667
2010-05-10,-15.0
