ticker,CLLA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-10,3.0303
2008-04-17,22.9412
2014-11-05,-66.5072
2015-02-24,0.8571
2015-06-16,-27.762
2015-10-05,17.647100000000002
2015-12-22,33.3333
2016-03-08,0.0
2016-05-20,0.0
2016-12-21,-12.5
2017-03-21,-13.4286
2018-03-12,-14.1914
2018-04-25,18.8462
