ticker,SGRY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-10-01,-4.6842
2015-10-02,1.767
2015-10-05,1.9533
2015-10-06,0.9047
2015-10-07,-1.4241
2015-10-08,-0.214
2015-10-09,-3.4316
2015-10-12,0.7218
2015-10-13,3.032
2015-10-14,0.428
2015-10-15,-1.2254
2015-10-16,2.3193
2015-10-19,1.0016
2015-10-20,3.3925
2015-10-21,-3.8869
2015-10-22,-7.9832
2015-10-23,1.7694
2015-10-26,4.4868
2015-10-27,0.8588
2015-10-28,-4.7898
2015-10-29,-5.7015
2015-10-30,-0.2964
2015-11-02,-1.6646999999999998
2015-11-03,5.0181
2015-11-04,-3.3967
2015-11-05,2.6818
2015-11-06,9.1701
2015-11-09,0.638
2015-11-10,0.6867
2015-11-11,-0.6296
2015-11-12,-3.2207
2015-11-13,3.1097
2015-11-16,-0.2646
2015-11-17,0.1592
2015-11-18,-2.1716
2015-11-19,-1.4618
2015-11-20,2.3626
2015-11-23,1.7713
2015-11-24,0.5802
2015-11-25,2.15
2015-11-27,0.0513
2015-11-30,-1.9497
2015-12-01,-2.5641
2015-12-02,1.6649
2015-12-03,1.8489
2015-12-04,1.7116
2015-12-07,1.8357999999999999
2015-12-08,0.9014
2015-12-09,3.1266
2015-12-10,2.5505
2015-12-11,0.0469
2015-12-14,-2.2045
2015-12-15,-1.0072
2015-12-16,0.7752
2015-12-17,-0.4327
2015-12-18,-6.9532
2015-12-21,4.7224
2015-12-22,3.8157
2015-12-23,-2.4344
2015-12-24,0.6849
2015-12-28,0.7289
2015-12-29,0.7718
2015-12-30,1.3404
2015-12-31,-3.2121
2016-01-04,-4.8804
2016-01-05,0.8722
2016-01-06,2.9502
2016-01-07,-6.8676
2016-01-08,-7.374
2016-01-11,-0.2864
2016-01-12,2.0678
2016-01-13,-3.6016
2016-01-14,2.8605
2016-01-15,1.4756
2016-01-19,-2.5727
2016-01-20,4.4776
2016-01-21,-2.6923
2016-01-22,-2.6539
2016-01-25,-4.4664
2016-01-26,0.3643
2016-01-27,-0.3025
2016-01-28,-6.7354
2016-01-29,4.8146
2016-02-01,3.9727
2016-02-02,-0.597
2016-02-03,-0.0601
2016-02-04,0.7813
2016-02-05,-1.9082
2016-02-08,-5.7751
2016-02-09,0.7097
2016-02-10,0.3844
2016-02-11,-3.8928000000000003
2016-02-12,-3.3201
2016-02-16,-7.2802
2016-02-17,-6.3704
2016-02-18,-4.2722
2016-02-19,14.2149
2016-02-22,1.3748
2016-02-23,-0.9993
