ticker,EQTE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-07-22,-20.0
2008-07-23,-12.0
2008-07-24,98.8636
2008-07-28,42.8571
2008-07-30,-2.5
2008-07-31,0.0
2008-08-01,-12.8205
2008-08-05,14.7059
2008-08-25,-53.8462
2008-08-26,88.8889
2008-08-27,-29.4118
2008-08-29,41.6667
2008-09-02,-29.4118
2008-09-03,0.0
2008-09-09,33.3333
2008-09-10,-40.625
2008-09-11,-15.7895
2008-09-16,92.5
2008-09-23,-2.5974
2008-09-30,40.0
2008-10-01,-2.3810000000000002
2008-10-02,-46.3415
2008-10-08,-40.9091
2008-10-09,-15.3846
2008-10-13,-9.0909
2008-10-16,-24.0
2008-10-17,0.0
2008-10-21,-71.0526
2008-10-22,83.6364
2008-10-23,98.0198
2008-10-24,0.0
2008-10-27,-49.5
2008-10-28,-40.5941
2008-10-30,83.3333
2008-10-31,81.8182
2008-11-03,0.0
2008-11-10,-37.5
2008-11-12,-19.2
2008-11-14,-35.6436
2008-11-18,69.2308
2008-11-19,-22.7273
2008-11-21,18.8235
2008-11-26,8.9109
2008-12-01,-20.0
2008-12-02,-9.0909
2008-12-23,-62.5
2009-01-06,100.0
2009-01-20,-66.6667
2009-01-27,50.0
2009-01-28,-33.3333
2009-01-30,5.0
2009-02-02,14.2857
2009-02-04,-4.1667
2009-02-17,-21.7391
2009-02-23,-33.3333
2009-02-25,-16.6667
2009-02-27,0.0
2009-03-16,10.0
2009-03-20,0.0
2009-03-23,-9.0909
2009-03-25,0.0
2009-03-31,200.0
2009-04-09,6.6667
2009-04-15,0.0
2009-04-16,-50.0
2009-04-17,100.0
2009-04-20,53.125
2009-04-21,-4.0816
2009-04-22,0.0
2009-04-23,-57.4468
2009-05-28,-20.0
2009-05-29,25.0
2009-06-16,60.0
2009-07-23,-62.5
2009-07-24,0.0
2009-08-07,-16.6667
2009-08-12,300.0
2009-08-19,-75.0
2009-08-24,100.0
2009-09-01,-25.0
2009-09-02,-26.6667
2009-09-09,0.0
2009-09-17,0.0
2009-09-21,-0.9091
2009-09-23,0.0
2009-10-02,-8.2569
2009-10-12,10.0
2009-11-06,-50.0
2009-11-23,2.3864
2009-11-24,42.0644
2009-11-30,0.0
2009-12-02,-31.25
2009-12-14,0.0
2009-12-28,18.1818
2009-12-29,69.2308
2009-12-30,-36.3636
2010-01-04,7.1429
2010-01-08,21.3333
2010-01-11,0.0
2010-01-14,119.7802
2010-01-19,0.0
2010-02-02,-45.0
2010-02-03,0.0
