ticker,NX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-04-15,9.1255
2008-04-16,6.6202
2008-04-17,1.9607999999999999
2008-04-18,1.9231
2008-04-21,-1.7610000000000001
2008-04-22,1.4085
2008-04-23,-5.1768
2008-04-24,8.988
2008-04-25,3.4209
2008-04-28,4.8435
2008-04-29,-3.7746
2008-04-30,-0.4684
2008-05-01,1.3529
2008-05-02,-0.4063
2008-05-05,1.8648
2008-05-06,-2.0595
2008-05-07,-1.285
2008-05-08,-1.8935
2008-05-09,4.4632
2008-05-12,-2.0785
2008-05-13,-1.8277999999999999
2008-05-14,3.1231
2008-05-15,-0.8736
2008-05-16,1.1163
2008-05-19,-2.5567
2008-05-20,-1.4311
2008-05-21,-0.8469
2008-05-22,0.6711
2008-05-23,-3.2727
2008-05-27,0.2506
2008-05-28,5.125
2008-05-29,1.0702
2008-05-30,3.5294
2008-06-02,-1.8182
2008-06-03,-1.7361
2008-06-04,0.0
2008-06-05,0.1178
2008-06-06,-1.4706000000000001
2008-06-09,-1.6118999999999999
2008-06-10,-0.0607
2008-06-11,-1.7608000000000001
2008-06-12,0.309
2008-06-13,1.6049
2008-06-16,-0.8505
2008-06-17,-1.8995
2008-06-18,4.747
2008-06-19,-0.1193
2008-06-20,-3.8806000000000003
2008-06-23,-1.0559
2008-06-24,-2.3227
2008-06-25,7.5193
2008-06-26,-6.7543
2008-06-27,-1.3462
2008-06-30,-3.4438
2008-07-01,4.6433
2008-07-02,-1.9293
2008-07-03,5.3115
2008-07-07,-5.3549
2008-07-08,0.7895
2008-07-09,-1.9582000000000002
2008-07-10,0.5992
2008-07-11,0.6618
2008-07-14,-1.3807
2008-07-15,-0.1333
2008-07-16,1.1348
2008-07-17,0.33
2008-07-18,-1.5131999999999999
2008-07-21,0.6012
2008-07-22,0.2656
2008-07-23,-0.0662
2008-07-24,-3.6448
2008-07-25,3.2325
2008-07-28,2.2652
2008-07-29,-0.2606
2008-07-30,0.9798
2008-07-31,-0.3881
2008-08-01,-0.5195
2008-08-04,-0.2611
2008-08-05,2.0288
2008-08-06,-2.7582
2008-08-07,-1.1873
2008-08-08,0.1335
2008-08-11,0.3333
2008-08-12,-0.8638
2008-08-13,3.7534
2008-08-14,-0.9044
2008-08-15,4.3025
2008-08-18,0.3125
2008-08-19,0.1869
2008-08-20,4.0423
2008-08-21,-0.7173
2008-08-22,0.4214
2008-08-25,-1.1391
2008-08-26,-2.0619
2008-08-27,0.9288
2008-08-28,0.6135
