ticker,EIGH US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-08-17,-12.5
2007-08-20,0.0
2007-08-21,0.0
2007-08-22,0.0
2007-08-23,-42.8571
2007-08-24,62.5
2007-08-28,-7.6923
2007-09-04,-50.0
2007-09-19,-70.0
2007-09-26,33.3333
2007-09-27,-25.0
2007-09-28,11.1111
2007-10-03,0.0
2007-10-09,-10.0
2007-10-17,-44.4444
2007-10-18,60.0
2007-10-26,-37.5
2007-11-05,0.0
2007-12-04,100.0
2007-12-14,-10.0
2007-12-17,55.5556
2007-12-24,42.8571
2007-12-26,0.0
2007-12-27,-65.0
2008-01-02,171.4286
2008-01-03,-5.2632
2008-01-04,0.0
2008-01-09,0.0
2008-01-10,-44.4444
2008-01-11,29.8125
2008-01-14,54.0684
2008-01-15,15.0
2008-01-16,-34.7826
2008-01-17,46.6667
2008-01-18,-9.0909
2008-01-23,-40.0
2008-01-24,-16.6667
2008-01-25,90.0
2008-01-28,-21.0526
2008-01-30,0.0
2008-02-01,-6.6667
2008-02-04,-42.8571
2008-02-05,0.0
2008-02-06,0.0
2008-02-07,-50.0
2008-02-08,25.0
2008-02-11,10.0
2008-02-12,0.0
2008-02-13,0.0
2008-02-15,-27.2727
2008-02-19,-12.5
2008-02-21,28.5714
2008-02-22,-22.2222
2008-02-25,0.0
2008-02-28,0.0
2008-02-29,14.2857
2008-03-03,0.0
2008-03-04,-25.0
2008-03-05,16.6667
2008-03-06,-14.2857
2008-03-11,0.0
2008-03-12,-70.0
2008-03-13,64.5833
2008-03-14,68.7764
2008-03-17,-20.0
2008-03-18,-75.0
2008-03-19,50.0
2008-03-20,6.6667
2008-03-24,-75.0
2008-03-25,-40.625
2008-03-26,321.0526
2008-03-27,-60.0
2008-03-28,0.0
2008-03-31,6.25
2008-04-01,-5.8824
2008-04-02,31.25
2008-04-03,-23.8095
2008-04-04,0.0
2008-04-07,125.0
2008-04-08,11.1111
2008-04-09,10.0
2008-04-10,-27.2727
2008-04-11,50.0
2008-04-14,33.3333
2008-04-22,-70.3125
2008-04-23,-7.8947
2008-04-24,37.1429
2008-04-25,16.6667
2008-04-28,3.5714
2008-04-29,37.931
2008-05-02,0.0
2008-05-05,60.0
2008-05-06,-6.25
2008-05-12,0.0
2008-05-13,6.6667
2008-05-14,125.0
2008-05-15,61.1111
2008-05-16,-17.2414
2008-05-19,20.8333
2008-05-21,-65.5172
2008-05-22,-15.0
2008-05-27,-41.1765
2008-05-28,-10.0
2008-05-29,4.1667
