ticker,MDXX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-11-08,0.0
2007-11-19,-75.0
2007-11-30,300.0
2007-12-03,0.0
2007-12-14,-25.0
2007-12-28,233.3333
2008-02-29,50.0
2008-08-11,-76.0
2009-06-19,177.7778
2009-07-21,0.0
2009-07-22,-4.0
2009-08-05,2.0833
2009-08-06,0.0
2009-08-11,0.0
2009-08-14,0.0
2009-08-19,0.0
2009-08-25,0.0
2009-08-27,0.0
2009-08-28,0.0
2009-09-04,0.0
2009-09-10,0.0
2009-09-11,0.0
2009-09-18,0.0
2009-09-21,2.0408
2009-09-22,4.0
2009-09-23,0.0
2009-09-24,3.8462
2009-09-25,1.8519
2009-09-28,0.0
2009-09-29,0.0
2009-09-30,0.0
2009-10-01,3.6364
2009-10-05,3.5088
2009-10-06,0.0
2009-10-07,-1.6949
2009-10-08,3.4483
2009-10-09,0.0
2009-10-13,-1.6667
2009-10-14,-6.7797
2009-10-15,-7.2727
2009-10-16,19.6078
2009-10-19,0.0
2009-10-21,0.0
2009-10-22,3.2787
2009-10-23,0.0
2009-10-26,0.0
2009-10-27,0.0
2009-10-28,0.0
2009-10-29,0.0
2009-10-30,3.1746
2009-11-02,0.0
2009-11-03,0.0
2009-11-04,7.6923
2009-11-05,14.2857
2009-11-06,0.0
2009-11-09,-6.25
2009-11-10,4.0
2009-11-11,8.9744
2009-11-12,-5.8824
2009-11-13,0.0
2009-11-16,0.0
2009-11-17,12.5
2009-11-18,-11.1111
2009-11-20,0.0
2009-11-30,6.25
2009-12-01,0.0
2009-12-02,0.0
2009-12-03,5.8824
2009-12-04,11.1111
2009-12-07,1.0
2009-12-08,8.9109
2009-12-09,0.0
2009-12-10,-4.5455
2009-12-11,-4.7619
2009-12-15,20.0
2009-12-16,0.0
2009-12-17,4.1667
2009-12-18,-4.0
2009-12-21,0.0
2009-12-22,-15.8333
2009-12-23,3.9604
2009-12-24,-3.8095
2009-12-29,0.0
2009-12-30,0.0
2009-12-31,0.0
2010-01-04,8.9109
2010-01-05,0.0
2010-01-07,0.0
2010-01-08,0.0
2010-01-11,0.0
2010-01-12,0.0
2010-01-13,0.0
2010-01-14,-4.5455
2010-01-15,0.0
2010-01-19,0.0
2010-01-20,-3.8095
2010-01-21,0.0
2010-01-22,8.9109
2010-01-25,0.0
2010-01-26,4.5455
2010-01-27,4.3478
2010-01-28,4.1667
2010-01-29,8.0
2010-02-01,-11.1111
2010-02-02,0.0
2010-02-03,-4.1667
2010-02-04,-0.8696
