ticker,RMAX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-10-02,22.7273
2013-10-03,11.8889
2013-10-04,4.7666
2013-10-07,-2.5907999999999998
2013-10-08,-7.5576
2013-10-09,1.7193
2013-10-10,2.7251
2013-10-11,-1.3768
2013-10-14,1.6684
2013-10-15,-0.067
2013-10-16,0.4692
2013-10-17,-2.5017
2013-10-18,0.4105
2013-10-21,-2.4872
2013-10-22,-0.4892
2013-10-23,-1.7556
2013-10-24,5.1823
2013-10-25,-1.2572
2013-10-28,-2.4776
2013-10-29,-1.5173
2013-10-30,-1.3973
2013-10-31,2.4709
2013-11-01,-1.9149
2013-11-04,4.5553
2013-11-05,1.556
2013-11-06,-1.396
2013-11-07,-2.0718
2013-11-08,-2.7151
2013-11-11,-1.0149
2013-11-12,2.2702
2013-11-13,1.1815
2013-11-14,-1.8047
2013-11-15,5.3694
2013-11-18,1.2312
2013-11-19,-0.4054
2013-11-20,-1.4586000000000001
2013-11-21,2.8227
2013-11-22,0.837
2013-11-25,-0.8964
2013-11-26,1.474
2013-11-27,1.6177000000000001
2013-11-29,-1.2995
2013-12-02,-1.4154
2013-12-03,0.5008
2013-12-04,-0.3322
2013-12-05,-0.3
2013-12-06,-3.0425
2013-12-09,2.7931
2013-12-10,-0.7716
2013-12-11,-0.3043
2013-12-12,-1.8311
2013-12-13,-4.1105
2013-12-16,6.9164
2013-12-17,0.6739
2013-12-18,3.6145
2013-12-19,-4.6189
2013-12-20,4.0298
2013-12-23,4.7852
2013-12-24,0.3107
2013-12-26,-1.6104
2013-12-27,2.4866
2013-12-30,-2.1499
2013-12-31,0.6591
2014-01-02,0.343
2014-01-03,-0.2486
2014-01-06,-3.3333
2014-01-07,-0.0967
2014-01-08,-0.5484
2014-01-09,0.2919
2014-01-10,0.6145
2014-01-13,-1.9285999999999999
2014-01-14,0.295
2014-01-15,3.0392
2014-01-16,-3.1399
2014-01-17,-6.4178
2014-01-21,4.8286
2014-01-22,4.0387
2014-01-23,-1.187
2014-01-24,-2.9221
2014-01-27,-3.612
2014-01-28,0.5205
2014-01-29,0.069
2014-01-30,3.208
2014-01-31,-2.5401
2014-02-03,-1.2689
2014-02-04,0.8336
2014-02-05,-0.31
2014-02-06,-0.1037
2014-02-07,0.8648
2014-02-10,-0.7545
2014-02-11,0.1037
2014-02-12,1.2772000000000001
2014-02-13,1.3292
2014-02-14,0.4373
2014-02-18,0.3684
2014-02-19,-0.7007
2014-02-20,0.0
2014-02-21,0.5712
