ticker,QOIL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-08-11,50.0
2000-08-14,0.0
2000-08-15,6.6667
2000-08-16,37.5
2000-08-17,13.6364
2000-08-18,17.5
2000-08-21,0.0
2000-08-22,14.8936
2000-08-23,7.4074
2000-08-24,1.7241
2000-08-25,8.4746
2000-08-28,10.9375
2000-08-29,1.4085
2000-08-30,5.5556
2000-08-31,2.6316
2000-09-01,2.1538
2000-09-05,4.1667
2000-09-06,-2.4096
2000-09-07,4.9383
2000-09-08,-34.1176
2000-09-11,-23.2143
2000-09-12,4.186
2000-09-13,11.607099999999999
2000-09-14,2.0
2000-09-15,1.9607999999999999
2000-09-18,0.0
2000-09-19,-21.1538
2000-09-20,-2.439
2000-09-21,2.5
2000-09-22,-21.1707
2000-09-25,2.104
2000-09-26,-0.1212
2000-09-27,-2.9126
2000-09-28,-31.25
2000-09-29,-12.7273
2000-10-02,-31.6667
2000-10-03,29.2683
2000-10-04,3.7736
2000-10-05,13.6364
2000-10-06,-10.4
2000-10-09,-16.2946
2000-10-10,8.8
2000-10-11,-20.3431
2000-10-12,15.6923
2000-10-13,6.383
2000-10-16,-4.0
2000-10-17,20.8333
2000-10-18,-3.4483
2000-10-19,19.6429
2000-10-20,-11.9403
2000-10-23,-1.6949
2000-10-24,0.0
2000-10-25,-31.0345
2000-10-26,-7.5
2000-10-27,18.9189
2000-10-30,-15.9091
2000-10-31,10.8108
2000-11-01,2.439
2000-11-02,-9.5238
2000-11-03,-17.7632
2000-11-06,8.8
2000-11-07,-2.9412000000000003
2000-11-08,-3.0303
2000-11-09,3.125
2000-11-10,-6.0606
2000-11-13,0.8065
2000-11-14,-18.4
2000-11-15,-17.647100000000002
2000-11-16,66.6667
2000-11-17,2.8571
2000-11-20,-27.7778
2000-11-21,-15.3846
2000-11-22,4.5455
2000-11-24,4.3478
2000-11-27,-18.75
2000-11-28,-5.1282
2000-11-29,-24.3243
2000-11-30,35.7143
2000-12-01,-1.3158
2000-12-04,-20.0
2000-12-05,-6.6667
2000-12-06,-14.2857
2000-12-07,16.6667
2000-12-08,7.1429
2000-12-11,-3.3333
2000-12-12,0.0
2000-12-13,-24.1379
2000-12-14,-9.0909
2000-12-18,15.0
2000-12-19,-17.3913
2000-12-20,10.526299999999999
2000-12-21,-4.7619
2000-12-22,40.0
2000-12-26,7.1429
2000-12-27,-23.3333
2000-12-28,13.0435
2000-12-29,-23.0769
2001-01-02,-10.0
2001-01-03,-22.2222
2001-01-04,-14.2857
