ticker,AGDY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2001-11-16,0.0
2002-10-22,0.0
2002-11-05,0.0
2004-02-09,100.0
2004-08-16,33.3333
2004-12-10,0.0
2005-11-14,0.0
2006-10-11,0.0
2007-05-21,125.0
2007-07-16,-50.0
2008-08-28,655.5556
2009-01-29,-79.4118
2009-03-16,-21.4286
2009-06-01,518.1818
2009-06-03,-55.8824
2009-06-08,126.6667
2009-07-07,-55.8824
2009-07-08,10.0
2009-07-09,-30.303
2009-07-10,-26.087
2009-07-13,29.4118
2009-07-14,-31.8182
2009-07-15,6.6667
2009-07-16,0.0
2009-07-17,-9.375
2009-07-20,-3.4483
2009-07-21,0.0
2009-07-22,-7.1429
2009-07-23,-19.2308
2009-07-24,9.5238
2009-07-28,-4.3478
2009-07-31,0.0
2009-08-03,-9.0909
2009-08-04,0.0
2009-08-05,0.0
2009-08-06,0.0
2009-08-10,-10.0
2009-08-11,-22.2222
2009-08-14,-21.4286
2009-08-17,-27.2727
2009-08-18,50.0
2009-08-19,33.3333
2009-08-20,37.5
2009-08-21,0.0
2009-08-24,0.0
2009-08-25,9.0909
2009-08-26,0.0
2009-08-27,25.0
2009-08-28,6.6667
2009-08-31,6.25
2009-09-01,-29.4118
2009-09-02,29.1667
2009-09-03,-16.129
2009-09-04,15.3846
2009-09-08,0.0
2009-09-09,-18.0
2009-09-10,21.9512
2009-09-11,-16.6667
2009-09-14,-19.2
2009-09-15,-0.9901
2009-09-16,20.0
2009-09-21,-33.3333
2009-09-22,-18.75
2009-09-23,-7.6923
2009-09-24,-15.0
2009-09-25,27.451
2009-09-28,7.6923
2009-09-29,0.0
2009-09-30,-7.1429
2009-10-01,7.6923
2009-10-02,-14.2857
2009-10-05,-16.6667
2009-10-14,0.0
2009-10-15,-10.0
2009-10-19,0.0
2009-10-20,-11.1111
2009-10-21,-10.7813
2009-10-28,-15.937
2009-10-29,-3.3333
2009-10-30,-20.6897
2009-11-02,-4.3478
2009-11-03,9.0909
2009-11-11,-33.3333
2009-11-13,-6.25
2009-11-16,0.0
2009-11-20,33.3333
2009-12-17,-45.0
2009-12-21,-13.6364
2009-12-22,-15.7895
2009-12-23,0.0
2009-12-24,0.0
2009-12-28,0.0
2010-01-06,25.0
2010-01-19,-20.0
2010-01-22,6.25
2010-01-25,-41.1765
2010-01-26,0.0
2010-02-03,-6.25
2010-02-08,0.0
2010-02-09,-4.0
2010-03-15,11.1111
2010-03-26,0.0
2010-03-29,40.0
