ticker,WTER US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-05-30,233.3333
2013-07-09,233.75
2013-07-10,0.0
2013-07-12,0.0
2013-07-15,1.1236
2013-07-16,-11.1111
2013-07-17,-12.5
2013-07-18,14.2857
2013-07-19,0.0
2013-07-22,0.0
2013-07-23,0.0
2013-07-25,0.0
2013-07-26,2.5
2013-07-29,2.439
2013-07-30,0.0
2013-07-31,9.5238
2013-08-01,-5.4348
2013-08-02,8.046
2013-08-05,-0.0266
2013-08-06,0.0266
2013-08-07,6.383
2013-08-08,10.0
2013-08-09,-7.2727
2013-08-12,6.8627
2013-08-13,-6.422
2013-08-14,3.9215999999999998
2013-08-15,9.434
2013-08-16,6.8966
2013-08-19,3.2258
2013-08-20,-15.625
2013-08-21,1.8519
2013-08-22,8.1818
2013-08-23,4.2227
2013-08-26,1.4312
2013-08-27,-9.38
2013-08-28,3.5088
2013-08-29,-1.6949
2013-08-30,-4.1379
2013-09-03,4.3165
2013-09-04,22.5862
2013-09-05,9.564
2013-09-06,0.7702
2013-09-09,4.4586
2013-09-10,11.2195
2013-09-11,18.4211
2013-09-12,6.4815
2013-09-13,-38.3478
2013-09-16,-33.7094
2013-09-17,-1.0638
2013-09-18,8.5618
2013-09-19,-5.9056999999999995
2013-09-20,5.2632
2013-09-23,20.0
2013-09-24,10.8333
2013-09-25,19.8496
2013-09-26,7.9674
2013-09-27,-21.5572
2013-09-30,-14.0741
2013-10-01,-12.931000000000001
2013-10-02,13.824300000000001
2013-10-03,-4.8385
2013-10-04,-8.5923
2013-10-07,-1.0
2013-10-08,7.6768
2013-10-09,13.5084
2013-10-10,-7.438
2013-10-11,14.2857
2013-10-14,-6.25
2013-10-15,1.6667
2013-10-16,-6.3934
2013-10-17,4.7285
2013-10-18,0.6689
2013-10-21,-0.353
2013-10-22,-4.8135
2013-10-23,-1.9264000000000001
2013-10-24,-6.25
2013-10-25,-3.8095
2013-10-28,0.5941
2013-10-29,6.2992
2013-10-30,-1.8519
2013-10-31,-0.5307
2013-11-01,0.5572
2013-11-04,2.9946
2013-11-05,-6.9597
2013-11-06,1.9685000000000001
2013-11-07,-3.2215
2013-11-08,-0.0623
2013-11-11,-10.1796
2013-11-12,-17.7778
2013-11-13,19.4595
2013-11-14,-17.8733
2013-11-15,6.0606
2013-11-18,-6.4935
2013-11-19,-20.0
2013-11-20,35.4167
2013-11-21,-10.2564
2013-11-22,-8.2857
2013-11-25,8.0997
2013-11-26,9.5101
2013-11-27,4.7368
