ticker,AMAL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-06-25,-0.0038
2018-08-01,16.9811
2018-08-02,0.0
2018-08-03,1.2903
2018-08-06,8.2803
2018-08-07,-5.8824
2018-08-08,0.0
2018-08-09,3.125
2018-08-10,-0.6061
2018-08-13,0.6098
2018-08-14,0.0
2018-08-15,-0.4242
2018-08-16,0.0
2018-08-17,-0.0609
2018-08-20,0.4263
2018-08-21,0.9096
2018-08-22,2.4038
2018-08-23,3.8146
2018-08-24,0.0565
2018-08-27,-2.2599
2018-08-28,2.3121
2018-08-29,-0.6215
2018-08-30,-1.0802
2018-08-31,0.2299
2018-09-04,1.7774999999999999
2018-09-05,1.1831
2018-09-06,6.3474
2018-09-07,-0.6283
2018-09-10,-0.1581
2018-09-11,-0.2639
2018-09-12,-0.2646
2018-09-13,0.3183
2018-09-14,-0.7932
2018-09-17,0.693
2018-09-18,-1.2176
2018-09-19,-0.1072
2018-09-20,-2.8970000000000002
2018-09-21,2.7072000000000003
2018-09-24,0.8607
2018-09-25,0.5867
2018-09-26,1.4846
2018-09-27,1.3584
2018-09-28,-0.567
2018-10-01,0.8813
2018-10-02,-2.3638
2018-10-03,3.6842
2018-10-04,-0.9645
2018-10-05,-0.5126
2018-10-08,1.5971
2018-10-09,-0.3043
2018-10-10,-0.3052
2018-10-11,-0.4592
2018-10-12,0.8713
2018-10-15,1.5752000000000002
2018-10-16,0.3502
2018-10-17,0.8475
2018-10-18,0.2472
2018-10-19,-2.4162
2018-10-22,-0.9096
2018-10-23,-2.1418
2018-10-24,-1.407
2018-10-25,2.3784
2018-10-26,-0.8776
2018-10-29,-2.2396
2018-10-30,2.5573
2018-10-31,0.7792
2018-11-01,1.1856
2018-11-02,0.6113
2018-11-05,1.1139000000000001
2018-11-06,6.2093
2018-11-07,-4.9505
2018-11-08,4.2659
2018-11-09,-0.2379
2018-11-12,3.3858
2018-11-13,3.4133
2018-11-14,-11.5968
2018-11-15,0.3027
2018-11-16,0.555
2018-11-19,-0.1004
2018-11-20,-0.1005
2018-11-21,-0.0503
2018-11-23,1.3580999999999999
2018-11-26,2.4814
2018-11-27,-1.2107
2018-11-28,0.7353
2018-11-29,1.3625
2018-11-30,2.5444
2018-12-03,-2.9962999999999997
2018-12-04,-3.3784
2018-12-06,0.7493
2018-12-07,-2.1319
2018-12-10,0.5066
2018-12-11,0.0
2018-12-12,-0.1512
2018-12-13,-6.1585
2018-12-14,-0.4841
2018-12-17,0.2703
2018-12-18,-1.779
