ticker,LWEL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-08-28,75.0
2015-08-31,60.0
2015-09-01,16.0714
2015-09-02,55.3846
2015-09-03,48.5149
2015-09-04,33.3333
2015-09-11,-12.5
2015-10-15,11.4286
2015-10-16,0.5128
2015-10-19,2.0408
2015-10-21,-24.5
2015-10-28,15.894
2015-10-29,0.0
2015-10-30,14.2857
2015-12-07,0.0
2015-12-18,-35.0
2016-01-11,0.0096
2016-01-26,-3.0862
2016-01-28,-7.1429
2016-02-02,-1.7094
2016-03-17,-30.4348
2016-04-11,38.75
2016-04-12,3.6036
2016-04-13,0.0
2016-04-14,4.3478
2016-04-19,45.8333
2016-04-21,0.0
2016-04-28,0.0
2016-05-03,7.4286
2016-05-12,3.7234
2016-05-17,0.0
2016-06-13,-33.3333
2016-06-15,0.0096
2016-06-27,-11.547
2016-10-27,0.0
2016-11-10,34.7826
2017-03-02,9.6774
2017-03-13,0.0
2017-04-24,2.9412000000000003
2017-04-25,5.7143
2017-08-04,0.0
2017-08-07,-2.7027
2017-08-17,0.0
2017-11-02,-13.3333
2017-11-09,16.7308
2017-11-13,7.4135
2017-11-16,0.0
2017-11-22,0.0
2018-02-12,-23.3129
2018-02-13,13.3333
2018-02-14,11.7647
2018-02-20,0.0
2018-02-22,4.7368
2018-02-28,0.5025
2018-03-08,7.8125
2018-03-13,0.0
2018-03-14,2.029
2018-03-15,11.3636
2018-03-19,2.0408
2018-03-20,60.0
2018-03-22,50.0
2018-03-23,-41.6667
2018-05-10,0.0
2018-05-11,0.0
2018-05-14,2.8571
2018-05-15,0.0
2018-06-11,11.1111
2018-07-27,3.75
2018-07-30,9.6386
2018-07-31,5.4945
2018-08-01,2.0833
2018-08-14,2.0408
2018-09-25,-34.8
2018-09-28,22.6994
