ticker,GVA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.4068
2000-01-04,1.4184
2000-01-05,6.2937
2000-01-06,3.5158
2000-01-07,5.1835
2000-01-10,0.3021
2000-01-11,5.7229
2000-01-12,-1.1396
2000-01-13,0.0
2000-01-14,-1.4409
2000-01-18,-1.1696
2000-01-19,0.0
2000-01-20,-0.5917
2000-01-21,-0.2976
2000-01-24,-1.4925
2000-01-25,-2.7273
2000-01-26,0.0
2000-01-27,-0.3115
2000-01-28,-0.3125
2000-01-31,0.0
2000-02-01,2.8213
2000-02-02,-1.8293
2000-02-03,2.795
2000-02-04,4.5317
2000-02-07,5.2023
2000-02-08,-1.0989
2000-02-09,1.6667
2000-02-10,-3.8251
2000-02-11,0.0
2000-02-14,5.3977
2000-02-15,1.6173
2000-02-16,-3.7135
2000-02-17,5.2342
2000-02-18,4.712
2000-02-22,-4.75
2000-02-23,-1.0499
2000-02-24,1.8568
2000-02-25,0.7813
2000-02-28,2.3256
2000-02-29,0.7576
2000-03-01,0.7519
2000-03-02,2.2388
2000-03-03,-0.2433
2000-03-06,-0.9756
2000-03-07,0.0
2000-03-08,0.2463
2000-03-09,1.9656
2000-03-10,-1.2048
2000-03-13,-0.2439
2000-03-14,0.978
2000-03-15,-0.2421
2000-03-16,4.8544
2000-03-17,-1.8519
2000-03-20,2.1226
2000-03-21,0.9238
2000-03-22,-1.8307
2000-03-23,-1.8648
2000-03-24,1.9002
2000-03-27,0.6993
2000-03-28,-0.6944
2000-03-29,-0.1026
2000-03-30,0.2347
2000-03-31,1.171
2000-04-03,-0.463
2000-04-04,-0.2326
2000-04-05,0.0
2000-04-06,0.4662
2000-04-07,-1.6240999999999999
2000-04-10,-1.8868
2000-04-11,-1.6827
2000-04-12,-1.7115
2000-04-13,-0.4975
2000-04-14,-3.75
2000-04-17,-0.7792
2000-04-18,-1.3089
2000-04-19,0.7958
2000-04-20,-1.5789
2000-04-24,-1.0695000000000001
2000-04-25,-0.8108
2000-04-26,0.8174
2000-04-27,3.7838000000000003
2000-04-28,-1.0417
2000-05-01,0.2632
2000-05-02,-1.5748
2000-05-03,-1.0667
2000-05-04,7.2776
2000-05-05,2.5126
2000-05-08,-1.2255
2000-05-09,7.4442
2000-05-10,0.0
2000-05-11,5.0808
2000-05-12,-1.3187
2000-05-15,0.4454
2000-05-16,-3.3259
2000-05-17,1.8349
2000-05-18,-0.4505
2000-05-19,-4.7511
2000-05-22,-0.7126
2000-05-23,-0.2392
