ticker,KRP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-02-03,14.6667
2017-02-06,-0.436
2017-02-07,-0.5839
2017-02-08,-3.1326
2017-02-09,-0.2021
2017-02-10,1.2658
2017-02-13,-1.75
2017-02-14,0.5089
2017-02-15,0.2532
2017-02-16,-1.2626
2017-02-17,1.023
2017-02-21,0.962
2017-02-22,-2.9036999999999997
2017-02-23,-1.0898
2017-02-24,0.5222
2017-02-27,-0.4675
2017-02-28,0.5741
2017-03-01,0.2076
2017-03-02,0.0518
2017-03-03,0.0518
2017-03-06,0.3104
2017-03-07,-0.2579
2017-03-08,1.8614000000000002
2017-03-09,-1.7259
2017-03-10,0.155
2017-03-13,0.6189
2017-03-14,-0.1025
2017-03-15,-0.3079
2017-03-16,2.5219
2017-03-17,-0.1004
2017-03-20,-1.7588
2017-03-21,-1.023
2017-03-22,1.0336
2017-03-23,-0.0512
2017-03-24,0.2047
2017-03-27,-0.5107
2017-03-28,0.1027
2017-03-29,0.0
2017-03-30,0.6667
2017-03-31,-0.6623
2017-04-03,2.0513
2017-04-04,-0.7538
2017-04-05,-2.3291
2017-04-06,0.6739
2017-04-07,1.1843
2017-04-10,-1.2723
2017-04-11,-0.4639
2017-04-12,1.709
2017-04-13,-0.4073
2017-04-17,-0.9202
2017-04-18,0.0516
2017-04-19,0.0
2017-04-20,-4.59
2017-04-21,-0.2703
2017-04-24,0.2043
2017-04-25,0.7157
2017-04-26,1.9870999999999999
2017-04-27,0.2106
2017-04-28,-0.578
2017-05-01,0.7928
2017-05-02,-0.1049
2017-05-03,-0.0525
2017-05-04,0.105
2017-05-05,0.5842
2017-05-08,0.6336
2017-05-09,-0.6296
2017-05-10,-2.7455
2017-05-11,-0.0543
2017-05-12,2.4986
2017-05-15,0.6889
2017-05-16,0.6579
2017-05-17,-1.4379
2017-05-18,0.2122
2017-05-19,2.541
2017-05-22,-1.0842
2017-05-23,3.0793
2017-05-24,0.5063
2017-05-25,0.7053
2017-05-26,-0.7004
2017-05-30,-0.9068
2017-05-31,1.1693
2017-06-01,-0.9548
2017-06-02,-0.0507
2017-06-05,-4.264
2017-06-06,0.6893
2017-06-07,0.0527
2017-06-08,0.8947
2017-06-09,-0.3652
2017-06-12,-2.0157
2017-06-13,-0.6679
2017-06-14,-8.553
2017-06-15,-1.8235000000000001
2017-06-16,0.3595
2017-06-19,-4.1791
2017-06-20,-0.3115
2017-06-21,1.1875
2017-06-22,-0.6794
2017-06-23,1.0572
2017-06-26,-1.7846
