ticker,CVS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-5.1724
2000-01-04,-0.8264
2000-01-05,5.5
2000-01-06,-7.109
2000-01-07,2.3810000000000002
2000-01-10,-0.1661
2000-01-11,0.3328
2000-01-12,-0.1658
2000-01-13,-1.9933999999999998
2000-01-14,-2.7119
2000-01-18,0.3484
2000-01-19,-0.5208
2000-01-20,-6.6457
2000-01-21,3.3708
2000-01-24,-0.1812
2000-01-25,-1.2704
2000-01-26,0.1838
2000-01-27,-1.8349
2000-01-28,4.1121
2000-01-31,0.3591
2000-02-01,0.3578
2000-02-02,4.8128
2000-02-03,2.7211
2000-02-04,-3.3113
2000-02-07,-0.1712
2000-02-08,9.777
2000-02-09,-2.5
2000-02-10,4.1667
2000-02-11,-2.4615
2000-02-14,0.6309
2000-02-15,-1.2539
2000-02-16,-1.4285999999999999
2000-02-17,-1.4493
2000-02-18,-2.9412000000000003
2000-02-22,2.862
2000-02-23,1.8003
2000-02-24,-4.8232
2000-02-25,-0.6757
2000-02-28,-2.3810000000000002
2000-02-29,-2.439
2000-03-01,-4.4643
2000-03-02,-8.411200000000001
2000-03-03,-0.6122
2000-03-06,1.5786
2000-03-07,-9.4379
2000-03-08,11.1607
2000-03-09,2.6104000000000003
2000-03-10,-4.501
2000-03-13,1.2295
2000-03-14,-0.4049
2000-03-15,6.0976
2000-03-16,11.3027
2000-03-17,-0.8606
2000-03-20,-2.7778
2000-03-21,6.25
2000-03-22,-0.1681
2000-03-23,-1.8519
2000-03-24,-1.3721999999999999
2000-03-27,-5.0435
2000-03-28,0.1832
2000-03-29,6.5814
2000-03-30,1.8868
2000-03-31,1.1785
2000-04-03,2.995
2000-04-04,5.9774
2000-04-05,-0.9146
2000-04-06,-4.4615
2000-04-07,0.0
2000-04-10,-0.3221
2000-04-11,7.1082
2000-04-12,5.8824
2000-04-13,1.1396
2000-04-14,-5.3521
2000-04-17,-0.1488
2000-04-18,2.9806
2000-04-19,0.7236
2000-04-20,0.8506
2000-04-24,0.428
2000-04-25,6.25
2000-04-26,-4.0107
2000-04-27,-1.3928
2000-04-28,-1.6949
2000-05-01,0.431
2000-05-02,2.7182
2000-05-03,-7.3816
2000-05-04,0.0
2000-05-05,2.2556
2000-05-08,5.2941
2000-05-09,-1.3966
2000-05-10,-1.4163999999999999
2000-05-11,-0.5747
2000-05-12,-3.1792
2000-05-15,2.5373
2000-05-16,-0.2911
2000-05-17,-2.3358
2000-05-18,-0.7474
2000-05-19,-1.8072
