ticker,LAWS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,2.2702999999999998
2000-01-04,-1.5957
2000-01-05,0.5405
2000-01-06,0.0
2000-01-07,-0.8065
2000-01-10,2.439
2000-01-11,1.5873
2000-01-12,0.2604
2000-01-13,1.5584
2000-01-14,0.2558
2000-01-18,-1.0204
2000-01-19,-1.0309
2000-01-20,-2.0833
2000-01-21,0.7979
2000-01-24,-0.1319
2000-01-25,-0.9247
2000-01-26,0.2667
2000-01-27,-0.5319
2000-01-28,0.5348
2000-01-31,-2.1277
2000-02-01,0.5435
2000-02-02,0.0
2000-02-03,0.5405
2000-02-04,-0.5376
2000-02-07,0.5405
2000-02-08,-0.5376
2000-02-09,-0.5405
2000-02-10,0.5435
2000-02-11,0.0
2000-02-14,-0.5405
2000-02-15,0.0
2000-02-16,0.0
2000-02-17,-0.5435
2000-02-18,0.0
2000-02-22,1.0929
2000-02-23,-0.5405
2000-02-24,0.2717
2000-02-25,-0.271
2000-02-28,-2.9891
2000-02-29,0.8403
2000-03-01,-4.4444
2000-03-02,4.6512
2000-03-03,-2.2222
2000-03-06,0.5682
2000-03-07,1.6949
2000-03-08,-0.2778
2000-03-09,0.2786
2000-03-10,1.6667
2000-03-13,0.5464
2000-03-14,-1.087
2000-03-15,0.0
2000-03-16,0.0
2000-03-17,1.6484
2000-03-20,0.0
2000-03-21,-0.5405
2000-03-22,0.8152
2000-03-23,-0.8086
2000-03-24,0.0
2000-03-27,-0.2717
2000-03-28,-0.8174
2000-03-29,3.8462
2000-03-30,0.5291
2000-03-31,0.2632
2000-04-03,-1.0761
2000-04-04,-0.6676
2000-04-05,-1.6129
2000-04-06,3.5519
2000-04-07,-0.2639
2000-04-10,-0.7937
2000-04-11,0.4
2000-04-12,-2.2576
2000-04-13,1.3587
2000-04-14,-2.4129
2000-04-17,-3.2967
2000-04-18,2.2727
2000-04-19,0.9722
2000-04-20,3.4388
2000-04-24,3.1915
2000-04-25,-1.0309
2000-04-26,1.0417
2000-04-27,0.0
2000-04-28,-0.5155
2000-05-01,2.5907
2000-05-02,0.5051
2000-05-03,-2.5126
2000-05-04,2.0619
2000-05-05,-2.7778
2000-05-08,-1.2987
2000-05-09,1.0526
2000-05-10,-2.6042
2000-05-11,2.6738
2000-05-12,-1.0417
2000-05-15,-0.2632
2000-05-16,-0.5277
2000-05-17,-0.7958
2000-05-18,1.6042999999999998
2000-05-19,0.5263
2000-05-22,0.5236
2000-05-23,0.0
2000-05-24,1.5625
