ticker,LITE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-07-27,22.647100000000002
2015-07-28,0.7194
2015-07-29,0.0119
2015-07-30,-0.0119
2015-07-31,-6.1905
2015-08-03,19.0355
2015-08-04,-9.8081
2015-08-05,-2.7896
2015-08-06,-9.5331
2015-08-07,3.7634
2015-08-10,-1.5026000000000002
2015-08-11,2.8932
2015-08-12,-0.9714
2015-08-13,6.35
2015-08-14,-1.3107
2015-08-17,3.6399
2015-08-18,1.7561
2015-08-19,-0.2332
2015-08-20,-0.8883
2015-08-21,0.2358
2015-08-24,-1.1294
2015-08-25,-2.9034
2015-08-26,0.049
2015-08-27,-0.049
2015-08-28,-2.3529
2015-08-31,-0.9036
2015-09-01,-3.3435
2015-09-02,-1.9392
2015-09-03,3.2068
2015-09-04,-1.2429000000000001
2015-09-08,-6.817
2015-09-09,5.74
2015-09-10,-2.3417
2015-09-11,-3.4877000000000002
2015-09-14,-0.7905
2015-09-15,-1.0814
2015-09-16,-2.359
2015-09-17,1.65
2015-09-18,-0.9855
2015-09-21,-0.1756
2015-09-22,-1.4076
2015-09-23,-0.1785
2015-09-24,0.9535
2015-09-25,0.2361
2015-09-28,-0.3534
2015-09-29,-0.4728
2015-09-30,0.6532
2015-10-01,-2.4189
2015-10-02,-4.7158
2015-10-05,-1.0787
2015-10-06,-1.9885000000000002
2015-10-07,-0.3272
2015-10-08,-0.3283
2015-10-09,-0.2635
2015-10-12,-2.576
2015-10-13,-0.4068
2015-10-14,-1.6338
2015-10-15,2.0761
2015-10-16,-1.8982999999999999
2015-10-19,-2.4188
2015-10-20,1.1331
2015-10-21,1.5406
2015-10-22,0.6897
2015-10-23,1.8493
2015-10-26,-0.269
2015-10-27,-1.8881000000000001
2015-10-28,1.0309
2015-10-29,-1.2925
2015-10-30,-1.1716
2015-11-02,3.2078
2015-11-03,3.9189
2015-11-04,4.4213000000000005
2015-11-05,1.8056999999999999
2015-11-06,-1.7125
2015-11-09,-0.2489
2015-11-10,3.1814999999999998
2015-11-11,8.5248
2015-11-12,-1.9499
2015-11-13,0.2273
2015-11-16,3.1179
2015-11-17,0.055
2015-11-18,-0.6593
2015-11-19,0.885
2015-11-20,3.125
2015-11-23,4.0936
2015-11-24,0.8682
2015-11-25,0.3544
2015-11-27,0.9586
2015-11-30,-0.05
2015-12-01,0.0
2015-12-02,-0.3
2015-12-03,-0.652
2015-12-04,2.5745
2015-12-07,-0.0984
2015-12-08,2.3645
2015-12-09,-3.2243
