ticker,CNGA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-04,0.0
2000-01-12,71.4286
2000-01-25,-41.6667
2000-01-28,0.0
2000-01-31,71.4286
2000-02-22,-33.3333
2000-03-03,50.0
2000-03-07,41.6667
2000-03-14,-47.0588
2000-03-20,0.0
2000-03-24,0.0
2000-04-03,11.1111
2000-04-05,30.0
2000-04-19,-38.4615
2000-05-01,0.0
2000-05-11,0.0
2000-05-12,0.0
2000-05-17,0.0
2000-08-28,44.0
2000-09-05,41.6667
2000-09-22,-49.0196
2000-10-13,0.0
2000-10-16,0.0
2000-10-24,8.1731
2000-12-20,-33.3333
2000-12-21,0.0
2000-12-22,-14.6667
2000-12-28,-50.0
2001-01-11,56.25
2001-01-25,100.0
2001-01-29,-40.0
2001-01-31,0.0
2001-02-09,13.3333
2001-02-13,5.8824
2001-02-20,38.8889
2001-04-04,0.0
2001-04-06,-36.0
2001-06-19,12.5
2001-06-20,0.0
2001-06-21,-27.7778
2001-07-03,-38.4615
2001-07-05,112.5
2001-07-24,-29.4118
2001-07-26,8.3333
2001-07-27,76.9231
2001-08-03,13.0435
2001-08-07,-50.0
2001-11-13,0.0
2001-12-17,0.0
2001-12-18,7.6923
2001-12-31,-7.1429
2002-01-03,0.0
2002-01-23,-38.4615
2002-01-24,225.0
2002-01-28,-3.8462
2002-03-11,40.0
2002-04-03,-51.4286
2002-04-30,0.0
2002-05-02,135.2941
2002-07-08,-57.5
2002-08-26,-41.1765
2002-08-29,250.0
2002-10-10,-51.4286
2002-12-02,0.0
2002-12-24,-41.1765
2003-01-03,0.0
2003-02-21,0.0
2003-02-25,0.0
2003-04-11,0.0
2003-04-21,0.0
2003-06-09,60.0
2003-07-21,-37.5
2003-07-30,-50.0
2003-07-31,100.0
2003-08-06,0.0
2003-08-26,410.0
2003-09-09,-72.549
2003-11-13,-28.5714
2003-11-18,40.0
2003-12-18,-28.5714
2003-12-22,5.0
2004-02-27,-4.7619
2004-05-18,410.0
2004-05-24,-60.7843
2004-07-07,-30.0
2004-07-28,-28.5714
2004-08-30,0.0
2004-09-07,40.0
2004-09-28,0.0
2004-11-11,-28.5714
2004-11-26,40.0
2004-12-06,0.0
2005-01-07,-28.5714
2005-02-18,0.0
2005-02-28,410.0
2005-03-01,-72.549
2005-03-16,-21.4286
2005-04-28,9.0909
2005-06-01,16.6667
2005-07-22,185.7143
2005-07-29,10.0
2005-08-17,-65.9091
2005-08-23,0.0
2005-09-15,13.3333
2005-11-21,-11.7647
