ticker,MBOT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,0.0
2000-01-04,17.0213
2000-01-05,1.8182
2000-01-06,7.1429
2000-01-07,3.3333
2000-01-10,11.2903
2000-01-11,24.6377
2000-01-12,-2.3256
2000-01-13,7.1429
2000-01-14,-11.1111
2000-01-18,5.0
2000-01-19,14.2857
2000-01-20,79.1667
2000-01-21,-4.6512
2000-01-24,9.1463
2000-01-25,2.7933
2000-01-26,-13.0435
2000-01-27,-17.5
2000-01-28,-3.0303
2000-01-31,-9.375
2000-02-01,10.3448
2000-02-02,3.125
2000-02-03,3.0303
2000-02-04,17.647100000000002
2000-02-07,10.0
2000-02-08,-3.4091
2000-02-09,3.5294
2000-02-10,20.4545
2000-02-11,-8.9623
2000-02-14,6.7358
2000-02-15,-5.8252
2000-02-16,0.0
2000-02-17,8.2474
2000-02-18,10.4762
2000-02-22,23.2759
2000-02-23,-2.0979
2000-02-24,-7.8571
2000-02-25,0.7752
2000-02-28,1.1538
2000-02-29,0.3802
2000-03-01,14.3939
2000-03-02,61.5894
2000-03-03,5.7377
2000-03-06,-8.5271
2000-03-07,-14.8305
2000-03-08,-11.9403
2000-03-09,11.2994
2000-03-10,-2.5381
2000-03-13,-15.625
2000-03-14,-18.8272
2000-03-15,14.8289
2000-03-16,-9.2715
2000-03-17,-4.3796
2000-03-20,-12.2137
2000-03-21,-0.8696
2000-03-22,17.5439
2000-03-23,3.7313
2000-03-24,-7.9137
2000-03-27,-9.375
2000-03-28,-6.0345
2000-03-29,-11.9266
2000-03-30,-8.3333
2000-03-31,40.3409
2000-04-03,-18.2186
2000-04-04,-0.9901
2000-04-05,4.0
2000-04-06,8.6538
2000-04-07,0.0
2000-04-10,-8.8496
2000-04-11,-10.6796
2000-04-12,-11.9565
2000-04-13,-14.8148
2000-04-14,-21.7391
2000-04-17,-11.1111
2000-04-18,39.5833
2000-04-19,5.2239
2000-04-20,19.1489
2000-04-24,-8.3333
2000-04-25,-2.5974
2000-04-26,-14.6667
2000-04-27,-1.5625
2000-04-28,12.6984
2000-05-01,20.4225
2000-05-02,-7.6023
2000-05-03,-12.6582
2000-05-04,7.2464
2000-05-05,5.4054
2000-05-08,-2.5641
2000-05-09,-5.2632
2000-05-10,-6.9444
2000-05-11,-1.4925
2000-05-12,3.0303
2000-05-15,-7.3529
2000-05-16,4.7619
2000-05-17,-3.7879
2000-05-18,-7.0866
2000-05-19,4.2373
2000-05-22,-4.065
2000-05-23,-11.0169
