ticker,PRRE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-07-27,100.0
2013-01-31,4486.6667
2013-02-22,0.0
2013-03-28,0.0727
2013-04-08,-0.0726
2013-04-11,0.0727
2013-04-15,-0.0726
2013-07-02,0.0727
2014-03-28,1417.7923
2014-03-31,-47.8947
2014-04-01,-2.0076
2014-04-02,1.0179
2014-04-03,5.102
2014-04-04,-2.9126
2014-04-07,0.0
2014-04-08,-5.0
2014-04-09,7.3684
2014-04-10,-6.8627
2014-04-11,15.7895
2014-04-14,-12.7273
2014-04-15,-10.3125
2014-04-16,-42.0587
2014-04-17,-10.7993
2014-04-21,-5.618
2014-04-22,7.1429
2014-04-23,3.3333
2014-04-24,1.0753
2014-04-25,8.2979
2014-04-28,-13.556000000000001
2014-04-29,6.8182
2014-04-30,2.1277
2014-05-01,3.125
2014-05-02,-4.0404
2014-05-05,-1.6842000000000001
2014-05-06,3.8544
2014-05-07,1.0309
2014-05-08,-0.5102
2014-05-09,0.5128
2014-05-12,0.0
2014-05-13,0.2041
2014-05-14,-5.8809000000000005
2014-05-15,6.0319
2014-05-16,0.0
2014-05-19,-11.2245
2014-05-20,1.1494
2014-05-21,3.4091
2014-05-22,-19.7802
2014-05-23,2.7397
2014-05-27,13.3333
2014-05-28,-2.8235
2014-05-29,-3.1477
2014-05-30,5.0
2014-06-02,-4.7619
2014-06-03,-3.75
2014-06-04,3.6364
2014-06-05,0.2506
2014-06-06,4.9687
2014-06-09,-9.4969
2014-06-10,2.6316
2014-06-11,-2.5641
2014-06-12,2.6316
2014-06-13,3.8462
2014-06-16,-6.1728
2014-06-17,5.0
2014-06-18,-12.2807
2014-06-19,0.0
2014-06-20,-7.1429
2014-06-23,-6.3654
2014-06-24,-1.4171
2014-06-25,-1.625
2014-06-26,11.9441
2014-06-27,9.0049
2014-06-30,4.1305
2014-07-01,-2.6667
2014-07-02,-1.3699
2014-07-03,0.0
2014-07-07,0.0
2014-07-08,1.3889
2014-07-09,4.1096
2014-07-10,4.2434
2014-07-11,-3.2818
2014-07-14,0.0
2014-07-15,1.7945
2014-07-16,-6.0256
2014-07-17,0.0341
2014-07-18,-4.5346
2014-07-21,-7.1429
2014-07-22,1.5385
2014-07-23,5.4545
2014-07-24,-13.7572
2014-07-25,3.2903000000000002
2014-07-28,3.2258
2014-07-29,-1.5234
2014-07-30,-1.309
2014-07-31,-0.3215
2014-08-01,6.4516
2014-08-04,6.0606
2014-08-05,0.2857
2014-08-06,2.5641
