ticker,VRVR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-07-05,0.0
2019-07-08,0.0
2019-07-09,0.0
2019-07-11,0.0
2019-07-15,0.0
2019-07-17,-2.0
2019-07-22,0.0
2019-07-23,-8.1633
2019-07-26,2.2222
2019-08-01,0.0
2019-08-02,0.0
2019-08-06,-4.3478
2019-08-12,0.0
2019-08-23,4.5455
2019-09-06,-13.0435
2019-09-09,-25.0
2019-09-24,-10.0
2019-09-25,3.7037
2019-09-26,-10.7143
2019-09-27,-20.0
2019-09-30,-29.99
2019-10-01,-27.1533
2019-10-02,0.0
2019-10-04,-31.3725
2019-10-07,-22.8571
2019-10-08,-7.4074
2019-10-09,-72.0
2019-10-10,-13.5714
2019-10-11,15.7025
2019-10-31,0.1429
2019-11-01,0.0
2019-11-08,14.1227
2019-11-22,12.5
2019-12-05,25.0
2019-12-09,0.0
2019-12-13,0.0
2019-12-26,4.44
2020-01-10,0.0043
2020-01-13,5.9574
2020-01-15,0.4016
2020-02-14,0.0
2020-02-18,-6.0
2020-02-27,2.1234
2020-03-04,1.2542
2020-03-10,0.0
2020-04-06,2.4691
2020-04-15,0.4016
2020-04-20,-0.4
2020-04-22,0.0
2020-04-27,-2.008
2020-04-28,2.0492
2020-04-30,0.8032
2020-05-06,-15.9363
2020-05-07,-0.4739
2020-05-11,-4.7619
2020-05-12,0.0
2020-05-13,-24.5
2020-05-18,-0.6623
2020-05-27,0.0
2020-06-01,16.6667
2020-06-03,-14.2857
2020-06-17,33.3333
2020-06-26,25.0
2020-07-13,4.0
2020-07-16,-3.8462
2020-07-21,-10.0
