ticker,CNABQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-10-17,25.0
2013-10-18,20.0
2013-10-21,116.6667
2013-10-22,-43.6923
2013-10-23,-31.694
2013-10-25,2.4
2013-10-28,0.0
2013-10-30,-14.0625
2013-11-05,0.0
2013-11-14,0.0
2013-12-13,16.3636
2013-12-31,0.0
2014-01-08,0.0
2014-01-28,-53.125
2014-01-29,0.0
2014-01-31,-33.3333
2014-02-03,0.0
2014-02-04,-20.0
2014-02-05,-21.875
2014-02-07,40.0
2014-02-10,-14.2857
2014-02-11,16.6667
2014-02-19,-0.0357
2014-02-25,94.3551
2014-02-26,-14.7059
2014-02-27,-39.6552
2014-02-28,57.1429
2014-03-03,109.0909
2014-03-04,8.6957
2014-03-05,136.0
2014-03-06,35.9322
2014-03-07,74.5636
2014-03-10,-5.7143
2014-03-11,-24.2424
2014-03-12,27.0
2014-03-13,14.9606
2014-03-14,-1.3699
2014-03-17,22.2222
2014-03-18,53.4091
2014-03-19,-1.8519
2014-03-20,5.6604
2014-03-21,15.7143
2014-03-24,-3.9506
2014-03-25,82.5193
2014-03-26,0.0
2014-03-27,-6.338
2014-03-28,42.8571
2014-03-31,-6.3158
2014-04-01,-1.6854
2014-04-02,-15.4286
2014-04-03,7.8378
2014-04-04,-14.1604
2014-04-07,-3.5036
2014-04-08,18.1543
2014-04-09,34.443
2014-04-10,-11.4286
2014-04-11,10.7527
2014-04-14,-3.3981
2014-04-15,-8.0402
2014-04-16,-1.6393
2014-04-17,-8.2222
2014-04-21,-2.7845
2014-04-22,-3.6115
2014-04-23,-0.7752
2014-04-24,-8.8542
2014-04-25,-16.0
2014-04-28,2.2109
2014-04-29,-0.1664
2014-04-30,-2.3333
2014-05-01,-14.6758
2014-05-02,16.4
2014-05-05,-23.7113
2014-05-06,1.8018
2014-05-07,-9.0708
2014-05-08,4.2412
2014-05-09,-19.2403
2014-05-12,3.4682
2014-05-13,0.5587
2014-05-14,-1.3889
2014-05-15,12.6761
2014-05-16,-10.0
2014-05-19,2.7778
2014-05-20,-10.8108
2014-05-21,-9.3939
2014-05-22,3.6789
2014-05-23,10.645199999999999
2014-05-27,-2.6239
2014-05-28,-10.1796
2014-05-29,-2.6667
2014-05-30,-1.7123
2014-06-02,-14.6341
2014-06-03,-0.4082
2014-06-04,-13.1148
2014-06-05,-17.9245
2014-06-06,9.1954
2014-06-09,3.4934
2014-06-10,-10.4952
2014-06-11,7.3864
2014-06-12,-10.0529
2014-06-13,1.7647
