ticker,AACG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-01-29,-7.8947
2008-01-30,-2.8571
2008-01-31,12.3529
2008-02-01,-0.4188
2008-02-04,-0.1052
2008-02-05,-4.1053
2008-02-06,-1.2075
2008-02-07,4.4444
2008-02-08,-4.1489
2008-02-11,0.333
2008-02-12,0.6637
2008-02-13,-0.9876
2008-02-14,0.5535
2008-02-15,-0.6623
2008-02-19,2.2222
2008-02-20,4.4565
2008-02-21,3.0177
2008-02-22,-2.8283
2008-02-25,-1.4553
2008-02-26,0.8439
2008-02-27,-0.5217
2008-02-28,1.4708
2008-02-29,6.7358
2008-03-03,0.5825
2008-03-04,-1.5444
2008-03-05,0.0
2008-03-06,0.0
2008-03-07,6.2745
2008-03-10,4.6125
2008-03-11,12.8748
2008-03-12,-3.75
2008-03-13,-3.2468
2008-03-14,-1.0067
2008-03-17,-10.8464
2008-03-18,-3.043
2008-03-19,-6.8627
2008-03-20,0.4211
2008-03-24,6.9182
2008-03-25,2.9412000000000003
2008-03-26,-14.1905
2008-03-27,0.444
2008-03-28,-3.7569
2008-03-31,1.7222
2008-04-01,7.2249
2008-04-02,-0.2118
2008-04-03,1.2658
2008-04-04,14.7917
2008-04-07,-13.1579
2008-04-08,6.5831
2008-04-09,-1.9607999999999999
2008-04-10,-2.2
2008-04-11,0.0
2008-04-14,2.7607
2008-04-15,0.2985
2008-04-16,2.1577
2008-04-17,0.9954
2008-04-18,1.9231
2008-04-21,1.4151
2008-04-22,2.2326
2008-04-23,-3.3667
2008-04-24,-0.9416
2008-04-25,-0.1901
2008-04-28,0.9524
2008-04-29,-0.9434
2008-04-30,1.619
2008-05-01,-1.4058
2008-05-02,0.7605
2008-05-05,-0.4717
2008-05-06,0.4739
2008-05-07,1.8868
2008-05-08,2.963
2008-05-09,-1.9784000000000002
2008-05-12,0.4587
2008-05-13,1.5525
2008-05-14,7.6439
2008-05-15,0.0
2008-05-16,4.929
2008-05-19,16.242
2008-05-20,1.0274
2008-05-21,8.922
2008-05-22,-0.5509
2008-05-23,6.9003
2008-05-27,-10.1288
2008-05-28,0.0651
2008-05-29,0.2604
2008-05-30,-1.9481000000000002
2008-06-02,1.3907
2008-06-03,0.7185
2008-06-04,2.2536
2008-06-05,1.0306
2008-06-06,-4.5825
2008-06-09,-3.3553
2008-06-10,-2.0422
2008-06-11,-1.3899
2008-06-12,0.8457
2008-06-13,1.0482
2008-06-16,0.9682
2008-06-17,3.1507
2008-06-18,-0.1992
