ticker,BEST US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-09-20,5.2
2017-09-21,3.5171
2017-09-22,10.652
2017-09-25,4.8963
2017-09-26,-7.0411
2017-09-27,-5.1064
2017-09-28,3.0493
2017-09-29,4.1775
2017-10-02,-2.924
2017-10-03,-0.7745
2017-10-04,1.0408
2017-10-05,-3.0901
2017-10-06,-4.0744
2017-10-09,-0.831
2017-10-10,2.4209
2017-10-11,-1.8182
2017-10-12,2.5926
2017-10-13,2.8881
2017-10-16,3.3333
2017-10-17,-0.2547
2017-10-18,0.2553
2017-10-19,-2.9711
2017-10-20,-2.0122
2017-10-23,-2.3214
2017-10-24,-1.7367
2017-10-25,-1.3023
2017-10-26,0.5655
2017-10-27,2.4367
2017-10-30,3.0192
2017-10-31,2.8419
2017-11-01,0.3454
2017-11-02,-0.8606
2017-11-03,-2.2569
2017-11-06,4.4405
2017-11-07,-1.3605
2017-11-08,1.9828000000000001
2017-11-09,-0.2536
2017-11-10,1.3559
2017-11-13,-1.3378
2017-11-14,-3.5593
2017-11-15,4.3937
2017-11-16,-7.4074
2017-11-17,0.0909
2017-11-20,-2.089
2017-11-21,-0.4638
2017-11-22,1.3048
2017-11-24,1.012
2017-11-27,-2.0947
2017-11-28,-0.2791
2017-11-29,-4.3843
2017-11-30,-4.0
2017-12-01,-1.9308999999999998
2017-12-04,-2.3834
2017-12-05,-4.034
2017-12-06,0.5531
2017-12-07,0.11
2017-12-08,-1.5385
2017-12-11,6.808
2017-12-12,-1.9854
2017-12-13,-0.9595
2017-12-14,-0.5382
2017-12-15,0.1082
2017-12-18,-3.7838000000000003
2017-12-19,1.573
2017-12-20,-1.2168
2017-12-21,0.5599
2017-12-22,0.3341
2017-12-26,-0.333
2017-12-27,0.3341
2017-12-28,0.5549
2017-12-29,-0.883
2018-01-02,2.784
2018-01-03,-1.4085
2018-01-04,1.0989
2018-01-05,4.0217
2018-01-08,-2.4032999999999998
2018-01-09,-1.4989
2018-01-10,-0.2174
2018-01-11,-0.3268
2018-01-12,0.8743
2018-01-16,-1.5168
2018-01-17,1.2101
2018-01-18,-0.3261
2018-01-19,-1.6358000000000001
2018-01-22,0.0
2018-01-23,0.8869
2018-01-24,-0.8791
2018-01-25,0.3326
2018-01-26,0.0
2018-01-29,-0.442
2018-01-30,-3.6626
2018-01-31,3.6866
2018-02-01,0.0
2018-02-02,-2.4444
2018-02-05,-1.3667
2018-02-06,-0.2309
2018-02-07,-1.7361
2018-02-08,0.0
