ticker,IHTA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-12-01,0.0
2017-12-04,0.5
2017-12-05,-0.199
2017-12-06,0.0
2017-12-07,0.0
2017-12-08,-0.2991
2017-12-11,0.0
2017-12-12,0.1
2017-12-13,-0.0769
2017-12-14,-0.023
2017-12-15,0.1
2017-12-18,-0.0999
2017-12-19,0.0
2017-12-20,0.2
2017-12-21,-0.001
2017-12-22,-0.1976
2017-12-26,0.699
2017-12-27,-0.1003
2017-12-28,0.5974
2017-12-29,1.8775
2018-01-02,0.097
2018-01-03,-3.1008
2018-01-08,0.35
2018-01-09,-0.009
2018-01-10,0.0588
2018-01-11,0.0996
2018-01-12,-0.001
2018-01-16,0.001
2018-01-17,-0.398
2018-01-18,-0.1998
2018-01-19,-0.5105
2018-01-22,-0.1771
2018-01-23,-0.1482
2018-01-24,0.4057
2018-01-29,-0.303
2018-01-30,0.2148
2018-01-31,-0.3144
2018-02-01,-0.9138
2018-02-05,-3.2753
2018-02-06,0.0
2018-02-07,-0.1058
2018-02-08,-0.5297
2018-02-09,1.4803
2018-02-12,-0.4114
2018-02-14,-0.138
2018-02-15,0.4242
2018-02-16,-1.1616
2018-02-20,1.8162
2018-02-21,-0.4197
2018-02-22,-0.0674
2018-02-23,0.2784
2018-02-26,-1.1567
2018-02-27,-0.1064
2018-02-28,-2.5559
2018-03-01,-1.5301
2018-03-02,2.1088
2018-03-05,-1.1957
2018-03-06,0.8801
2018-03-07,-0.7634
2018-03-08,1.8681
2018-03-09,0.3236
2018-03-12,0.114
2018-03-13,-1.8323
2018-03-14,-0.0361
2018-03-15,1.7591
2018-03-16,-1.4043
2018-03-19,0.6009
2018-03-20,0.1896
2018-03-21,-0.47
2018-03-22,-0.6449
2018-03-23,0.11
2018-03-26,0.2198
2018-03-27,0.0
2018-03-28,0.2686
2018-03-29,0.5402
2018-04-02,1.7544
2018-04-03,0.4789
2018-04-04,-0.5319
2018-04-05,1.3904
2018-04-06,-0.212
2018-04-09,-1.1628
2018-04-10,-0.662
2018-04-11,0.4522
2018-04-12,0.2144
2018-04-13,-0.2139
2018-04-16,-0.4641
2018-04-17,0.2056
2018-04-18,-0.27
2018-04-19,-2.1009
2018-04-20,-0.6648
2018-04-23,-1.0011
2018-04-24,-0.6749
2018-04-25,0.7928
2018-04-26,2.2472
2018-04-27,-0.2198
2018-04-30,0.6608
2018-05-01,0.0
2018-05-02,0.3173
2018-05-03,-0.8616
2018-05-04,-0.121
2018-05-07,0.5606
