ticker,NEOV US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-05-21,3.876
2020-05-22,5.2239
2020-05-26,2.8369
2020-05-27,15.1724
2020-05-28,0.0
2020-05-29,2.3952
2020-06-01,4.0936
2020-06-02,4.4944
2020-06-03,4.3011
2020-06-04,1.5464
2020-06-05,2.5381
2020-06-08,0.495
2020-06-09,-0.4926
2020-06-10,-0.495
2020-06-11,-1.99
2020-06-12,1.5228000000000002
2020-06-15,2.0
2020-06-16,0.9804
2020-06-17,1.4563
2020-06-18,1.4354
2020-06-19,1.1792
2020-06-22,0.9324
2020-06-23,0.6928
2020-06-24,0.9174
2020-06-25,0.0
2020-06-26,1.3636
2020-06-29,1.3453
2020-06-30,0.4425
2020-07-01,0.6608
2020-07-02,1.9694
2020-07-06,0.8584
2020-07-07,1.2766
2020-07-08,0.6303
2020-07-09,1.6701000000000001
2020-07-10,0.616
2020-07-13,-0.4082
2020-07-14,0.8197
2020-07-15,1.0163
2020-07-16,1.4085
2020-07-17,1.1905000000000001
2020-07-20,0.7843
2020-07-21,1.1673
2020-07-22,0.7692
2020-07-23,0.0
2020-07-24,1.5267
2020-07-27,1.5038
2020-07-28,1.1111
2020-07-29,1.2821
2020-07-30,0.5425
2020-07-31,0.7194
