ticker,FULT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-4.8611
2000-01-04,-1.8248
2000-01-05,0.7435
2000-01-06,0.369
2000-01-07,1.8382
2000-01-10,1.8051
2000-01-11,-3.5461
2000-01-12,-0.7353
2000-01-13,-1.8519
2000-01-14,0.0
2000-01-18,1.8868
2000-01-19,1.1111
2000-01-20,-1.0989
2000-01-21,1.1111
2000-01-24,-4.7619
2000-01-25,-0.3846
2000-01-26,0.7722
2000-01-27,1.1494
2000-01-28,-1.5152
2000-01-31,0.7692
2000-02-01,0.7634
2000-02-02,-2.2727
2000-02-03,0.0
2000-02-04,-0.3876
2000-02-07,1.5564
2000-02-08,3.4483
2000-02-09,-2.2222
2000-02-10,-1.0417
2000-02-11,-0.4785
2000-02-14,-0.7692
2000-02-15,0.3876
2000-02-16,0.7722
2000-02-17,0.0
2000-02-18,0.0
2000-02-22,-1.1494
2000-02-23,-1.1628
2000-02-24,0.0
2000-02-25,0.3922
2000-02-28,-0.3906
2000-02-29,3.5294
2000-03-01,-0.8523
2000-03-02,-2.1968
2000-03-03,1.1719
2000-03-06,-0.3861
2000-03-07,0.0
2000-03-08,-0.3876
2000-03-09,0.7782
2000-03-10,-0.3861
2000-03-13,-0.7752
2000-03-14,0.3906
2000-03-15,0.9339
2000-03-16,2.7237
2000-03-17,2.2727
2000-03-20,-1.8519
2000-03-21,1.5093999999999999
2000-03-22,1.1152
2000-03-23,1.4706000000000001
2000-03-24,4.3478
2000-03-27,-1.7361
2000-03-28,8.8339
2000-03-29,-1.2987
2000-03-30,1.3158
2000-03-31,9.4156
2000-04-03,-4.1543
2000-04-04,4.9536
2000-04-05,-1.7699
2000-04-06,0.0
2000-04-07,0.9009
2000-04-10,-1.1905000000000001
2000-04-11,0.0
2000-04-12,-3.012
2000-04-13,1.8634
2000-04-14,-1.2195
2000-04-17,0.6173
2000-04-18,1.227
2000-04-19,0.6061
2000-04-20,1.2048
2000-04-24,-2.9762
2000-04-25,1.227
2000-04-26,0.6061
2000-04-27,-0.6024
2000-04-28,-0.303
2000-05-01,1.2158
2000-05-02,0.0
2000-05-03,0.3003
2000-05-04,-0.6587
2000-05-05,0.0791
2000-05-08,1.1858
2000-05-09,1.25
2000-05-10,0.0
2000-05-11,-0.9259
2000-05-12,1.2461
2000-05-15,3.0769
2000-05-16,0.0
2000-05-17,0.0
2000-05-18,0.2985
2000-05-19,-2.3810000000000002
2000-05-22,-0.6098
2000-05-23,-1.227
2000-05-24,1.2422
