ticker,PI US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-07-21,28.3571
2016-07-22,8.8481
2016-07-25,0.8691
2016-07-26,-5.6766
2016-07-27,-2.7405
2016-07-28,2.1547
2016-07-29,-0.4327
2016-08-01,7.1157
2016-08-02,-1.6227
2016-08-03,-2.9381
2016-08-04,2.6553
2016-08-05,-0.5691
2016-08-08,3.0697
2016-08-09,-0.2524
2016-08-10,1.2146
2016-08-11,-0.05
2016-08-12,-0.1001
2016-08-15,8.663
2016-08-16,-3.4562
2016-08-17,12.0286
2016-08-18,-3.8773
2016-08-19,-2.6151999999999997
2016-08-22,-3.0951
2016-08-23,2.4425
2016-08-24,-2.9802999999999997
2016-08-25,-1.465
2016-08-26,-4.0767
2016-08-29,13.95
2016-08-30,-0.1755
2016-08-31,0.3077
2016-09-01,20.8151
2016-09-02,18.4984
2016-09-06,3.1527
2016-09-07,2.6706
2016-09-08,1.8786
2016-09-09,-7.6596
2016-09-12,4.4854
2016-09-13,4.6751000000000005
2016-09-14,2.9494
2016-09-15,1.146
2016-09-16,-0.2698
2016-09-19,-1.7311
2016-09-20,-8.2026
2016-09-21,2.9085
2016-09-22,-1.3695
2016-09-23,1.1521
2016-09-26,-6.1624
2016-09-27,11.0489
2016-09-28,0.6446
2016-09-29,1.7822
2016-09-30,2.3803
2016-10-03,-3.7948
2016-10-04,-7.4444
2016-10-05,-2.431
2016-10-06,5.3522
2016-10-07,-2.365
2016-10-10,-2.7811
2016-10-11,-13.2267
2016-10-12,0.1063
2016-10-13,0.0
2016-10-14,-2.585
2016-10-17,0.2908
2016-10-18,1.3411
2016-10-19,0.5007
2016-10-20,-2.2776
2016-10-21,-2.4035
2016-10-24,4.2164
2016-10-25,-3.2580999999999998
2016-10-26,-1.1843
2016-10-27,-3.5581
2016-10-28,-2.3301
2016-10-31,-1.829
2016-11-01,-1.0936
2016-11-02,2.7437
2016-11-03,0.837
2016-11-04,8.7747
2016-11-07,-3.8154
2016-11-08,5.0623
2016-11-09,11.2909
2016-11-10,-1.2924
2016-11-11,0.7201
2016-11-14,4.1599
2016-11-15,3.9626
2016-11-16,-3.5414
2016-11-17,2.1469
2016-11-18,-9.138
2016-11-21,-0.771
2016-11-22,-0.7432
2016-11-23,-1.9741
2016-11-25,-0.6944
2016-11-28,-7.0979
2016-11-29,2.5593
2016-11-30,0.2202
2016-12-01,1.4647000000000001
2016-12-02,-3.5727
2016-12-05,2.8443
2016-12-06,7.6419
2016-12-07,24.5098
