ticker,TSGL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-08-30,125.0
2013-09-03,44.4444
2013-09-04,0.0
2013-09-05,0.7692
2013-09-06,-4.5802
2013-09-09,4.0
2013-09-10,0.0
2013-09-16,-11.538499999999999
2013-09-17,14.7826
2013-09-26,-6.0606
2013-09-27,-3.2258
2013-09-30,-4.3333
2013-10-03,4.5296
2013-10-09,3.3333
2013-10-10,-3.2258
2013-10-11,0.0
2013-10-14,0.0
2013-10-15,9.4655
2013-10-16,0.0
2013-10-18,10.0
2013-10-21,-9.0909
2013-10-22,-30.0
2013-10-23,57.1429
2013-10-24,-4.5455
2013-10-25,-23.8095
2013-10-28,-15.0
2013-10-29,-11.7647
2013-10-30,0.0
2013-10-31,13.3333
2013-11-05,7.3529
2013-11-06,-19.1781
2013-11-07,-32.2034
2013-11-08,12.5
2013-11-11,0.0
2013-11-12,-11.1111
2013-11-13,-12.5
2013-11-14,-28.5714
2013-11-15,40.0
2013-11-18,2.8571
2013-11-20,11.1111
2013-11-21,0.0
2013-11-25,-25.0
2013-11-26,16.6667
2013-11-27,25.7143
2013-12-03,-31.8182
2013-12-04,33.3333
2013-12-05,-12.5
2013-12-06,0.0
2013-12-10,-14.2857
2013-12-11,0.0
2013-12-12,0.0
2013-12-17,-23.3333
2013-12-18,0.0
2013-12-27,-6.5217
2013-12-31,-6.9767
2014-01-03,9.9375
2014-01-07,0.0569
2014-01-08,36.3636
2014-01-09,13.3333
2014-01-10,0.0
2014-01-13,29.4118
2014-01-14,-9.0909
2014-01-16,0.0
2014-01-17,-12.5
2014-01-21,-14.2857
2014-01-22,10.0
2014-01-23,0.0
2014-01-24,15.1515
2014-01-31,2.6316
2014-02-03,-7.6923
2014-02-05,-16.6667
2014-02-06,-13.2917
2014-02-07,-0.1201
2014-02-11,-28.7948
2014-02-12,8.1081
2014-02-14,60.0
2014-02-20,-18.75
2014-02-21,11.538499999999999
2014-02-24,-7.6293
2014-02-25,8.2594
2014-02-26,6.8966
2014-02-27,-3.2258
2014-02-28,3.3333
2014-03-03,-6.4516
2014-03-04,0.0
2014-03-05,10.3448
2014-03-06,3.125
2014-03-07,-6.0606
2014-03-10,0.0
2014-03-11,-3.2258
2014-03-13,30.0
2014-03-14,2.5641
2014-03-17,-2.5312
2014-03-18,5.1619
2014-03-19,12.1951
2014-03-20,0.0
2014-03-21,8.6957
2014-03-24,-10.0
2014-03-25,4.4444
2014-03-26,6.383
2014-03-27,2.0
2014-03-28,-1.9607999999999999
