ticker,HUTN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-01-29,300.0
2014-01-30,-35.0
2014-02-03,-50.0
2014-02-10,53.8462
2014-03-05,100.0
2014-03-06,-2.0
2014-03-12,2.0408
2014-03-18,-40.0
2014-03-19,0.0
2014-03-20,83.3333
2014-03-25,-50.0
2014-03-26,0.0
2014-03-27,-18.1818
2014-04-03,33.3333
2014-04-04,83.3333
2014-04-07,-9.0909
2014-04-08,-25.0
2014-04-11,-17.3333
2014-04-15,-2.4194
2014-04-23,-0.8264
2014-04-25,0.0
2014-04-30,0.0
2014-05-06,0.0
2014-05-09,0.0
2014-05-14,0.0
2014-05-19,-15.0
2014-05-20,0.0
2014-05-21,0.0
2014-06-25,-27.451
2014-07-11,-27.027
2014-07-18,22.2222
2014-07-21,106.0606
2014-07-22,-41.1765
2014-07-23,0.0
2014-07-24,0.0
2014-07-28,-20.0
2014-07-29,0.0
2014-08-01,0.0
2014-08-04,0.0
2014-08-05,0.0
2014-08-06,0.0
2014-08-08,0.0
2014-08-12,-12.5
2014-08-14,-11.4286
2014-08-25,-3.2258
2014-08-26,0.0
2014-08-29,-13.3333
2014-09-04,92.3077
2014-09-05,2.0
2014-09-08,-12.0098
2014-09-09,-30.9192
2014-09-10,12.9032
2014-09-11,-42.8571
2014-09-12,95.0
2014-09-23,-60.2564
2014-10-14,-3.2258
2014-10-20,0.0
2014-10-23,0.0
2014-10-24,0.0
2014-10-30,-60.0
2014-10-31,28.125
2014-11-04,-8.9431
2014-11-17,21.4286
2014-11-18,-3.6765
2014-11-19,-12.2137
2014-11-21,39.1304
2014-11-25,3.0
2014-11-26,35.9223
2014-11-28,7.1429
2014-12-01,93.3333
2014-12-02,20.6897
2014-12-03,-21.4286
2014-12-05,0.0
2014-12-08,-12.7273
2014-12-09,-8.3333
2014-12-15,2.2727
2014-12-16,0.0
2014-12-29,0.0
2015-01-02,0.0
2015-01-06,-44.0
2015-01-08,58.730199999999996
2015-01-13,-25.0
2015-01-20,-32.6667
2015-01-26,23.7624
2015-01-29,0.0
2015-01-30,0.0
2015-02-05,-24.0
2015-03-05,-32.6316
2015-03-09,10.9375
2015-03-16,10.5634
2015-03-20,1.9108
2015-03-26,-18.75
2015-03-27,46.1538
2015-03-30,-4.2105
2015-04-01,-28.5714
2015-04-24,7.6923
2015-05-05,0.0
2015-07-15,-42.8571
2015-08-06,87.5
2015-08-07,0.0
2015-08-13,0.0
2015-09-23,0.0
2015-09-28,-6.6667
