ticker,FARE US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2012-03-09,0.0
2012-11-09,4244.0
2012-11-16,-87.5
2012-12-11,-32.0
2012-12-12,50.0
2012-12-13,-4.5752
2012-12-14,-54.4521
2012-12-17,71.6165
2012-12-18,8.6528
2012-12-19,-10.4839
2012-12-20,9.009
2012-12-21,-10.8471
2012-12-24,19.5829
2012-12-26,26.3566
2012-12-27,-25.6902
2012-12-28,30.8566
2012-12-31,10.2129
2013-01-02,8.1932
2013-01-03,17.9894
2013-01-04,13.3969
2013-01-07,18.6851
2013-01-08,-42.6905
2013-01-09,-19.4767
2013-01-10,-22.3827
2013-01-11,-21.0465
2013-01-14,-3.3872999999999998
2013-01-15,-9.1463
2013-01-16,-27.349
2013-01-17,-11.0855
2013-01-18,-35.3247
2013-01-22,91.1647
2013-01-23,83.4034
2013-01-24,5.3837
2013-01-25,-6.5217
2013-01-28,-20.9302
2013-01-29,17.647100000000002
2013-01-30,-6.5
2013-01-31,-0.9358
2013-02-01,-2.969
2013-02-04,-10.9875
2013-02-05,-1.875
2013-02-06,0.6369
2013-02-07,-1.6614
2013-02-08,0.4023
2013-02-11,11.9391
2013-02-12,-6.6571
2013-02-13,-3.0675
2013-02-14,-0.6329
2013-02-15,0.6369
2013-02-19,-7.3576
2013-02-20,-7.088
2013-02-21,-11.489
2013-02-22,11.3188
2013-02-25,-5.9701
2013-02-26,-2.6786
2013-02-27,-7.0336
2013-02-28,-3.8377
2013-03-01,-3.8769
2013-03-04,4.3891
2013-03-05,0.0
2013-03-06,1.8182
2013-03-07,32.1429
2013-03-08,-4.0541
2013-03-11,-6.0739
2013-03-12,-7.0291
2013-03-13,2.7218
2013-03-14,2.2571
2013-03-15,3.071
2013-03-18,-9.8696
2013-03-19,0.0
2013-03-20,3.9256
2013-03-21,-4.5725999999999996
2013-03-22,4.1667
2013-03-25,-3.4
2013-03-26,4.1408
2013-03-27,-3.9760999999999997
2013-03-28,-2.2774
2013-04-01,0.0
2013-04-02,0.0
2013-04-03,-1.9068
2013-04-04,-1.5119
2013-04-05,-3.5088
2013-04-08,-4.2045
2013-04-09,0.5931
2013-04-10,8.2547
2013-04-11,13.2898
2013-04-12,-14.6154
2013-04-15,-0.9009
2013-04-16,-5.1136
2013-04-17,2.8743
2013-04-18,-6.6356
2013-04-19,0.3741
2013-04-22,1.3665
2013-04-23,-2.6961
2013-04-24,0.7557
2013-04-25,-2.0
2013-04-26,-1.0204
2013-04-29,-7.2165
