ticker,PEBA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-03-29,-8.3333
2000-04-26,-9.0909
2000-05-09,6.6667
2000-12-08,-15.625
2001-01-31,7.4074
2002-05-24,5.1724
2002-06-18,0.0
2002-06-20,0.0
2002-06-26,14.7541
2002-06-27,0.0
2004-02-19,11.4286
2005-01-03,12.5641
2005-12-01,7.631
2005-12-20,2.6455
2006-03-06,0.0
2006-04-07,3.0928
2007-01-26,3.2
2007-01-29,1.2597
2007-11-12,6.2201
2007-11-14,1.8018
2008-01-08,1.7699
2008-01-15,-3.4783
2008-01-23,2.7027
2008-06-13,-14.9123
2008-06-23,-5.1546
2008-06-27,0.0
2008-07-30,-12.8261
2008-08-11,2.8678
2008-08-13,4.2424
2009-04-01,-5.814
2009-04-03,-1.2346
2009-05-05,0.0
2009-06-03,1.25
2009-12-03,-12.963
2009-12-16,13.4752
2009-12-29,-10.625
2010-02-10,0.6993
2010-08-17,0.0
2013-10-11,16.6667
2013-12-23,2.3810000000000002
2014-07-18,-1.1628
2014-10-02,0.0
2014-12-11,0.0
2014-12-12,2.3529
2014-12-17,0.0
2014-12-18,0.0
2015-01-16,-2.8736
2015-01-22,2.0118
2015-01-26,0.9281
2015-10-06,-2.6437
2015-10-30,2.7155
2015-11-17,-1.1494
2015-12-16,-1.5116
2015-12-21,0.0
2016-02-11,-0.3542
2016-11-08,1.8981
2016-11-18,1.1837
2017-02-02,-1.4020000000000001
2017-07-25,0.0
2017-07-26,-1.6317
2017-08-17,0.0
2017-10-19,-0.4739
2018-04-12,9.5238
2018-05-14,0.0
2018-12-13,-8.6957
2020-03-23,-13.0952
2020-04-27,-17.8085
2020-07-13,-29.9994
