ticker,SRSCQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-02-09,-2.5392
2000-02-10,-2.5666
2000-02-11,1.4765
2000-02-17,3.9246
2000-02-18,0.0
2000-03-20,-4.4562
2000-03-21,0.9881
2000-03-22,-1.6047
2000-03-28,-1.3524
2000-05-04,0.8065
2000-05-05,-4.2
2000-05-08,-4.8017
2000-07-17,3.6917999999999997
2000-09-27,-6.4075
2000-10-16,-17.551
2000-11-09,-11.8262
2000-12-14,-6.6358
2001-01-12,10.2478
2001-01-15,0.0
2001-03-06,-20.0696
2001-08-10,12.7158
2002-02-05,-14.9484
2002-02-14,-6.1267
2002-04-08,6.1644
2002-07-24,4.2882
2003-01-15,-9.8714
2003-02-03,7.0996
2003-04-02,-87.8353
2003-05-27,682.5486
2003-06-19,9.2105
2003-09-05,9.2156
2003-10-16,10.1476
2003-11-14,4.7792
2003-11-17,-4.5542
2003-12-17,-18.0108
2004-01-20,11.6434
2004-01-21,1.8878
2004-01-26,-3.4417
2004-02-03,-2.3955
2004-05-18,-5.237
2004-07-08,6.4988
2004-07-14,-1.8831
2004-07-15,-0.3819
2004-09-01,-0.1226
2004-11-17,25.9524
2004-12-08,-10.5
2004-12-09,-1.3268
2004-12-10,-1.4862
2005-01-06,-2.2989
2005-01-14,2.6837999999999997
2005-01-25,-3.1507
2005-01-27,-0.1848
2005-01-28,0.1111
2005-02-02,3.1447
2005-02-07,2.5825
2005-02-08,1.049
2005-02-09,7.0865
2005-02-10,3.3993
2005-02-11,2.9876
2005-02-14,3.4724
2005-02-15,0.7059
2005-02-16,1.2266
2005-02-17,-0.6347
2005-02-18,-6.446
2005-02-23,4.0348
2005-02-24,-1.3723
2005-02-25,-0.5445
2005-02-28,0.6691
2005-03-01,1.8308
2005-03-02,4.4847
2005-03-03,0.6882
2005-03-04,2.7637
2005-03-07,-1.9759
2005-03-09,2.206
2005-03-11,-0.7889
2005-03-14,-0.1104
2005-03-15,0.8845
2005-03-18,0.7945
2005-03-21,0.0272
2005-03-23,-1.6303999999999998
2005-03-24,0.4354
2005-03-28,-0.7863
2005-03-29,0.411
2005-03-30,0.138
2005-03-31,1.737
2005-04-01,-0.4553
2005-04-04,-1.5157
2005-04-05,4.2702
2005-04-06,1.8028
2005-04-07,0.9375
2005-04-08,-1.4964
2005-04-13,-4.1121
2005-04-14,-0.1912
2005-04-15,-1.3684
2005-04-18,-1.9423
2005-04-20,2.8862
2005-04-21,-2.6953
2005-04-25,-1.4698
2005-04-26,-1.8646
