ticker,VTOL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-01-23,4.4875
2013-01-24,1.3256000000000001
2013-01-25,2.0408
2013-01-28,0.7692
2013-01-29,1.7812000000000001
2013-01-30,-0.5
2013-01-31,2.4623
2013-02-01,5.9343
2013-02-04,-0.7407
2013-02-05,11.0075
2013-02-06,-5.5042
2013-02-07,-3.5127
2013-02-08,-2.0737
2013-02-11,-0.7529
2013-02-12,0.569
2013-02-13,-0.9901
2013-02-14,-0.8571
2013-02-15,0.2402
2013-02-19,0.575
2013-02-20,-1.1434
2013-02-21,0.9157
2013-02-22,0.2865
2013-02-25,-2.1905
2013-02-26,1.1198
2013-02-27,-2.1666
2013-02-28,-0.6398
2013-03-01,-1.9811999999999999
2013-03-04,-0.2021
2013-03-05,1.2658
2013-03-06,-0.6
2013-03-07,-1.7103000000000002
2013-03-08,4.1965
2013-03-11,-1.4735
2013-03-12,-0.3988
2013-03-13,2.4024
2013-03-14,0.7331
2013-03-15,-1.0674
2013-03-18,1.0299
2013-03-19,-0.5825
2013-03-20,-0.4395
2013-03-21,1.4713
2013-03-22,1.305
2013-03-25,0.5248
2013-03-26,-1.1865
2013-03-27,0.6724
2013-03-28,0.1908
2013-04-01,0.0
2013-04-02,1.381
2013-04-03,0.047
2013-04-04,-1.1737
2013-04-05,2.5653
2013-04-08,3.3811999999999998
2013-04-09,1.9264999999999999
2013-04-10,5.7143
2013-04-11,4.3659
2013-04-12,-0.757
2013-04-15,-5.4597
2013-04-16,-1.104
2013-04-17,-0.1288
2013-04-18,-0.7309
2013-04-19,-0.0433
2013-04-22,-1.6031
2013-04-23,1.5412
2013-04-24,0.3036
2013-04-25,-2.2914
2013-04-26,0.8407
2013-04-29,0.0439
2013-04-30,0.2193
2013-05-01,1.6193
2013-05-02,1.1197
2013-05-03,3.2368
2013-05-06,0.8251
2013-05-07,1.9231
2013-05-08,-0.4416
2013-05-09,0.3629
2013-05-10,0.5223
2013-05-13,-0.1998
2013-05-14,-0.7209
2013-05-15,6.8173
2013-05-16,-4.1163
2013-05-17,-1.8511
2013-05-20,-1.244
2013-05-21,7.1109
2013-05-22,-3.3763
2013-05-23,0.3141
2013-05-24,-2.1135
2013-05-28,0.3599
2013-05-29,3.4661
2013-05-30,0.077
2013-05-31,-0.885
2013-06-03,2.8727
2013-06-04,-5.0943
2013-06-05,-3.3797
2013-06-06,3.3333
2013-06-07,1.9116
2013-06-10,-1.4459
2013-06-11,0.9913
2013-06-12,1.2955999999999999
