ticker,MG US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2009-10-08,0.64
2009-10-09,0.5564
2009-10-12,0.3953
2009-10-13,1.1811
2009-10-14,3.2685
2009-10-15,2.6375
2009-10-16,-0.8076
2009-10-19,3.5529
2009-10-20,-2.0729
2009-10-21,-3.7956
2009-10-22,-1.3657
2009-10-23,-0.0769
2009-10-26,-1.5396
2009-10-27,-3.9093
2009-10-28,-6.8347999999999995
2009-10-29,4.4541
2009-10-30,-3.3445
2009-11-02,2.0761
2009-11-03,0.2542
2009-11-04,1.5215999999999998
2009-11-05,3.4971
2009-11-06,-1.6895
2009-11-09,3.8462
2009-11-10,-1.8913
2009-11-11,0.4016
2009-11-12,-2.4
2009-11-13,1.0656
2009-11-16,1.7032
2009-11-17,-0.2392
2009-11-18,3.1175
2009-11-19,-1.3953
2009-11-20,-2.7516
2009-11-23,0.8084
2009-11-24,-2.2454
2009-11-25,0.2461
2009-11-27,1.0638
2009-11-30,-1.2955
2009-12-01,-0.3281
2009-12-02,-0.3292
2009-12-03,-1.7341
2009-12-04,0.6723
2009-12-07,4.1736
2009-12-08,0.0801
2009-12-09,0.0801
2009-12-10,0.72
2009-12-11,0.0794
2009-12-14,2.6189999999999998
2009-12-15,5.4138
2009-12-16,2.5679
2009-12-17,-1.216
2009-12-18,-1.231
2009-12-21,1.5396
2009-12-22,0.722
2009-12-23,2.1505
2009-12-24,1.7544
2009-12-28,1.1724
2009-12-29,0.3408
2009-12-30,0.8832
2009-12-31,1.4141
2010-01-04,-1.0624
2010-01-05,-1.4094
2010-01-06,-1.5657
2010-01-07,0.2075
2010-01-08,-0.207
2010-01-11,-0.4149
2010-01-12,-3.2639
2010-01-13,0.7179
2010-01-14,0.7128
2010-01-15,-0.2831
2010-01-19,2.9099
2010-01-20,-0.3448
2010-01-21,-1.2457
2010-01-22,0.0701
2010-01-25,0.4902
2010-01-26,-0.7666
2010-01-27,1.6854
2010-01-28,-0.2762
2010-01-29,0.4155
2010-02-01,-0.8276
2010-02-02,-2.0167
2010-02-03,-0.2129
2010-02-04,-4.5519
2010-02-05,-0.5961
2010-02-08,-0.5247
2010-02-09,3.2404
2010-02-10,-1.8248
2010-02-11,2.974
2010-02-12,0.9386
2010-02-16,1.7883
2010-02-17,0.9838
2010-02-18,1.3222
2010-02-19,-0.5495
2010-02-22,-1.6575
2010-02-23,-0.9129
2010-02-24,1.2757
2010-02-25,-1.1197
2010-02-26,-3.4678
2010-03-01,-15.9824
2010-03-02,-2.5305
