ticker,KLAC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2000-01-03,-2.5814
2000-01-04,-4.2627
2000-01-05,-4.994
2000-01-06,0.76
2000-01-07,5.9082
2000-01-10,10.6825
2000-01-11,-0.8579
2000-01-12,3.1368
2000-01-13,0.4719
2000-01-14,15.2401
2000-01-18,-5.3442
2000-01-19,-1.5311
2000-01-20,-1.6521
2000-01-21,1.581
2000-01-24,-6.9066
2000-01-25,3.5528
2000-01-26,-5.7518
2000-01-27,-2.4625
2000-01-28,-1.0977
2000-01-31,4.1065
2000-02-01,3.4115
2000-02-02,6.4948
2000-02-03,2.5169
2000-02-04,-0.3777
2000-02-07,3.4123
2000-02-08,2.2915
2000-02-09,-2.7778
2000-02-10,3.871
2000-02-11,-2.7507
2000-02-14,-1.2774
2000-02-15,3.0499
2000-02-16,2.9596
2000-02-17,3.1359
2000-02-18,-8.1081
2000-02-22,5.3309
2000-02-23,0.9599
2000-02-24,0.6914
2000-02-25,-5.7511
2000-02-28,1.7304
2000-02-29,11.6383
2000-03-01,-3.3681
2000-03-02,-4.2324
2000-03-03,15.4246
2000-03-06,0.8258
2000-03-07,0.0745
2000-03-08,-5.9524
2000-03-09,7.5949
2000-03-10,7.2059
2000-03-13,-7.8875
2000-03-14,-9.0097
2000-03-15,-1.6367
2000-03-16,0.0
2000-03-17,6.4892
2000-03-20,-3.6719
2000-03-21,4.704
2000-03-22,3.5631
2000-03-23,3.8145
2000-03-24,2.9539
2000-03-27,0.14
2000-03-28,-4.9616
2000-03-29,-8.4559
2000-03-30,1.8474
2000-03-31,6.3091
2000-04-03,-8.5312
2000-04-04,3.3252
2000-04-05,2.1978
2000-04-06,9.5238
2000-04-07,9.3268
2000-04-10,-13.9833
2000-04-11,3.0574
2000-04-12,-9.6961
2000-04-13,-16.9872
2000-04-14,-11.0039
2000-04-17,18.0043
2000-04-18,5.8824
2000-04-19,-10.3299
2000-04-20,0.8712
2000-04-24,-1.9194
2000-04-25,3.5225
2000-04-26,-3.6862
2000-04-27,11.3837
2000-04-28,5.5507
2000-05-01,-4.424
2000-05-02,-4.0175
2000-05-03,-9.0992
2000-05-04,0.9009
2000-05-05,0.9921
2000-05-08,-5.7957
2000-05-09,-8.2377
2000-05-10,-10.9091
2000-05-11,2.1684
2000-05-12,3.4956
2000-05-15,6.152
2000-05-16,3.6364
2000-05-17,1.0965
2000-05-18,-1.7354
2000-05-19,-7.5055
2000-05-22,-0.5967
2000-05-23,-10.6843
2000-05-24,3.2258
