ticker,ZOM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-08-08,12.4077
2016-08-09,-1.7302
2016-08-10,4.7973
2016-08-11,2.52
2016-08-12,-0.1143
2016-08-15,10.7084
2016-08-16,2.9006
2016-08-17,-0.5247
2016-08-18,0.1964
2016-08-19,1.8817
2016-08-22,-1.2313
2016-08-23,-1.7029999999999998
2016-08-24,-0.8153
2016-08-30,-8.2087
2016-09-02,4.0796
2016-09-06,0.7648
2016-09-07,3.6528
2016-09-08,-3.278
2016-09-16,0.3135
2016-09-19,-2.2936
2016-09-23,-4.5079
2016-10-03,6.9767
2016-10-18,-1.3351
2016-10-20,-4.3947
2016-10-21,4.7783
2016-10-24,25.790399999999998
2016-10-26,-11.052
2016-10-27,-3.515
2016-11-01,-0.4485
2016-11-08,0.4727
2016-11-09,-2.2861000000000002
2016-11-11,-0.5608
2016-11-14,0.5526
2016-11-15,-1.3597000000000001
2016-11-16,-0.9707
2016-11-17,-4.0019
2016-11-22,8.1682
2016-11-25,-6.4343
2016-11-29,-1.6237
2016-12-01,-4.0777
2016-12-09,-1.6194
2016-12-12,0.7587
2016-12-16,-1.6401
2016-12-19,-0.3633
2016-12-20,3.2168
2016-12-22,4.3909
2016-12-23,7.3306000000000004
2016-12-29,2.3986
2016-12-30,-9.2654
2017-01-03,0.7454
2017-01-04,0.8662
2017-01-05,-0.1133
2017-01-06,1.4031
2017-01-09,-0.1413
2017-01-13,5.1887
2017-01-17,0.6278
2017-01-18,-0.5459
2017-01-19,-5.6066
2017-02-03,-2.7651
2017-02-13,0.2746
2017-02-21,1.0893
2017-02-22,-0.9211
2017-02-23,-0.3524
2017-02-24,1.4939
2017-03-07,8.5251
2017-03-08,-4.2073
2017-03-09,0.1734
2017-03-10,3.7845
2017-03-16,0.0278
2017-03-22,-4.0734
2017-03-24,0.9095
2017-04-13,-2.7154
2017-04-17,-6.1784
2017-04-18,0.6353
2017-04-19,19.5
2017-04-20,0.3347
2017-04-21,4.5872
2017-04-24,44.8565
2017-04-25,-8.1751
2017-04-26,-4.9273
2017-04-27,8.5248
2017-04-28,-14.6826
2017-05-01,1.7154
2017-05-02,10.0896
2017-05-04,-6.7929
2017-05-05,0.7423
2017-05-08,-0.1093
2017-05-09,-1.4386999999999999
2017-05-10,-0.5263
2017-05-11,1.6782
2017-05-12,-0.1545
2017-05-15,0.0
2017-05-16,-3.3998
2017-05-19,25.3024
2017-05-23,-0.9688
2017-05-24,4.8913
2017-05-25,-0.2073
