ticker,LBRDA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-11-05,7.9907
2014-11-06,-1.8646
2014-11-07,-0.96
2014-11-10,-5.6341
2014-11-11,-2.2256
2014-11-12,3.1954
2014-11-13,2.9055999999999997
2014-11-14,-1.0923
2014-11-17,1.4378
2014-11-18,0.4519
2014-11-19,3.7218999999999998
2014-11-20,0.9069
2014-11-21,0.8206
2014-11-24,2.5581
2014-11-25,1.8519
2014-11-26,0.8349
2014-11-28,0.9016
2014-12-01,-1.4953
2014-12-02,0.4443
2014-12-03,-1.2717
2014-12-04,0.84
2014-12-05,0.796
2014-12-08,-0.1286
2014-12-09,-0.1655
2014-12-10,-0.4237
2014-12-11,-2.0233
2014-12-12,-3.1194
2014-12-15,-1.6303
2014-12-16,-1.0773
2014-12-17,0.6283
2014-12-18,0.4995
2014-12-19,2.1122
2014-12-22,2.7782999999999998
2014-12-23,1.1247
2014-12-24,-0.722
2014-12-26,-0.1376
2014-12-29,-0.866
2014-12-30,0.4368
2014-12-31,-0.9883
2015-01-02,-0.579
2015-01-05,-1.988
2015-01-06,-2.6224
2015-01-07,0.3156
2015-01-08,3.3767
2015-01-09,-0.8115
2015-01-12,0.2045
2015-01-13,1.7555
2015-01-14,-3.4504
2015-01-15,1.9323000000000001
2015-01-16,-0.1631
2015-01-20,-3.0829
2015-01-21,-0.7162
2015-01-22,0.9124
2015-01-23,-0.9882
2015-01-26,0.3398
2015-01-27,-0.2963
2015-01-28,-3.184
2015-01-29,-1.0743
2015-01-30,-1.4405999999999999
2015-02-02,1.7315
2015-02-03,3.9567
2015-02-04,3.3808
2015-02-05,4.8951
2015-02-06,-1.8627
2015-02-09,-0.9191
2015-02-10,0.6856
2015-02-11,-1.1216
2015-02-12,1.7014
2015-02-13,-0.5178
2015-02-17,1.3614
2015-02-18,-0.2568
2015-02-19,-0.0396
2015-02-20,0.2575
2015-02-23,0.5928
2015-02-24,0.7071
2015-02-25,2.4381
2015-02-26,-0.8949
2015-02-27,-0.365
2015-03-02,1.909
2015-03-03,1.5894
2015-03-04,-1.4714
2015-03-05,-0.2079
2015-03-06,-1.1745
2015-03-09,3.0477
2015-03-10,-1.9903
2015-03-11,0.4745
2015-03-12,4.9112
2015-03-13,-0.4861
2015-03-16,0.1628
2015-03-17,-1.2464
2015-03-18,-0.2012
2015-03-19,-0.5499
2015-03-20,-0.2027
2015-03-23,-0.4432
2015-03-24,1.5582
2015-03-25,-1.7351999999999999
2015-03-26,-0.9851
