ticker,GMLP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-04-08,10.4444
2011-04-11,1.2475
2011-04-12,-1.4308
2011-04-13,-0.6855
2011-04-14,-0.5278
2011-04-15,0.6122
2011-04-18,1.217
2011-04-19,0.0802
2011-04-20,3.324
2011-04-21,5.6202
2011-04-25,-2.0183
2011-04-26,-0.5618
2011-04-27,-0.1883
2011-04-28,-0.566
2011-04-29,1.7078
2011-05-02,0.7463
2011-05-03,-0.5185
2011-05-04,-5.2308
2011-05-05,-5.6373999999999995
2011-05-06,-0.0416
2011-05-09,4.9563
2011-05-10,2.6984
2011-05-11,0.0773
2011-05-12,-0.7336
2011-05-13,-0.4278
2011-05-16,-1.9531
2011-05-17,-3.4661
2011-05-18,4.4986
2011-05-19,2.2512
2011-05-20,4.7509
2011-05-23,-0.4794
2011-05-24,0.0371
2011-05-25,-0.4074
2011-05-26,1.7107
2011-05-27,0.1828
2011-05-31,1.0219
2011-06-01,-1.2283
2011-06-02,-0.0732
2011-06-03,-1.6837
2011-06-06,-0.0372
2011-06-07,0.4842
2011-06-08,-0.2965
2011-06-09,-0.0743
2011-06-10,0.186
2011-06-13,-3.4534000000000002
2011-06-14,1.7692
2011-06-15,0.3779
2011-06-16,-0.9789
2011-06-17,-0.9506
2011-06-20,0.8829
2011-06-21,2.1689
2011-06-22,3.1657
2011-06-23,0.722
2011-06-24,0.1075
2011-06-27,0.4296
2011-06-28,0.82
2011-06-29,0.7779
2011-06-30,0.0
2011-07-01,2.1053
2011-07-05,-0.7216
2011-07-06,-0.1038
2011-07-07,-0.3119
2011-07-08,0.0
2011-07-11,-0.9385
2011-07-12,0.4211
2011-07-13,-0.2096
2011-07-14,-1.7856999999999998
2011-07-15,-0.4635
2011-07-18,-0.788
2011-07-19,-0.361
2011-07-20,0.7609
2011-07-21,0.7911
2011-07-22,0.1784
2011-07-25,2.3856
2011-07-26,0.4874
2011-07-27,-1.7652999999999999
2011-07-28,1.0571
2011-07-29,0.0702
2011-08-01,-0.0004
2011-08-02,-1.5678999999999998
2011-08-03,-0.6223
2011-08-04,-6.8493
2011-08-05,-3.096
2011-08-08,-7.3482
2011-08-09,5.1724
2011-08-10,1.0041
2011-08-11,4.7677
2011-08-12,0.5035
2011-08-15,-0.3854
2011-08-16,0.0
2011-08-17,0.735
2011-08-18,-1.5745
2011-08-19,-0.3902
2011-08-22,-2.4677
2011-08-23,0.6827
2011-08-24,-0.5185
2011-08-25,0.6816
2011-08-26,-1.4735
