ticker,IQ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-03-29,-13.6111
2018-04-02,0.9646
2018-04-03,1.9108
2018-04-04,-2.0625
2018-04-05,2.3612
2018-04-06,-0.1247
2018-04-09,2.4345
2018-04-10,6.0938
2018-04-11,3.7909
2018-04-12,5.368
2018-04-13,1.5756000000000001
2018-04-16,2.0683
2018-04-17,-0.5572
2018-04-18,-3.4641
2018-04-19,-3.219
2018-04-20,-2.8899
2018-04-23,2.4144
2018-04-24,1.5899
2018-04-25,-2.8063000000000002
2018-04-26,4.1088
2018-04-27,-4.0533
2018-04-30,0.2223
2018-05-01,-2.3849
2018-05-02,-1.7045
2018-05-03,-5.2600999999999996
2018-05-04,-1.3423
2018-05-07,1.0513
2018-05-08,2.3256
2018-05-09,11.3636
2018-05-10,11.2782
2018-05-11,-0.9653
2018-05-14,6.384
2018-05-15,-1.8323
2018-05-16,-4.6664
2018-05-17,-0.4895
2018-05-18,-1.2297
2018-05-21,0.8964
2018-05-22,11.155
2018-05-23,2.1314
2018-05-24,-0.2609
2018-05-25,-0.6539
2018-05-29,1.2725
2018-05-30,11.3951
2018-05-31,-1.5947
2018-06-01,12.4901
2018-06-04,2.565
2018-06-05,0.2398
2018-06-06,-0.8886
2018-06-07,6.3793
2018-06-08,6.3857
2018-06-11,5.1493
2018-06-12,0.029
2018-06-13,0.6663
2018-06-14,16.5755
2018-06-15,-0.864
2018-06-18,9.3875
2018-06-19,-3.0731
2018-06-20,3.8045999999999998
2018-06-21,-12.1493
2018-06-22,-6.5413
2018-06-25,-9.3965
2018-06-26,9.5803
2018-06-27,-13.35
2018-06-28,2.3382
2018-06-29,1.0955
2018-07-02,1.548
2018-07-03,0.5488
2018-07-05,-5.4275
2018-07-06,-4.0718
2018-07-09,6.3503
2018-07-10,-2.0427
2018-07-11,1.5079
2018-07-12,10.7459
2018-07-13,-3.1107
2018-07-16,8.7776
2018-07-17,0.1895
2018-07-18,-2.8108
2018-07-19,-9.2047
2018-07-20,1.8989
2018-07-23,-2.4947
2018-07-24,-2.5894
2018-07-25,6.1076
2018-07-26,-1.4912
2018-07-27,-2.6642
2018-07-30,-4.3857
2018-07-31,4.164
2018-08-01,0.2186
2018-08-02,-5.2041
2018-08-03,-6.3116
2018-08-06,2.1404
2018-08-07,3.5383
2018-08-08,-3.4506
2018-08-09,0.2405
2018-08-10,0.7885
2018-08-13,-3.1633
2018-08-14,-5.5497
2018-08-15,-2.8263
2018-08-16,-0.421
2018-08-17,1.3836
