ticker,VBLT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2014-10-02,0.0
2014-10-03,4.2735
2014-10-06,-0.8197
2014-10-07,8.4298
2014-10-08,1.9817
2014-10-09,-8.0717
2014-10-10,0.4878
2014-10-13,-2.7508
2014-10-14,-1.8303
2014-10-15,2.3729
2014-10-16,-1.4901
2014-10-17,9.0756
2014-10-20,0.1541
2014-10-21,-0.7692
2014-10-22,-6.9767
2014-10-23,1.8333
2014-10-24,5.2373
2014-10-27,2.6439
2014-10-28,2.5758
2014-10-29,0.4431
2014-10-30,2.2059
2014-10-31,-3.3094
2014-11-03,-3.2738
2014-11-04,1.5385
2014-11-06,-2.7273
2014-11-07,-5.296
2014-11-10,-0.1645
2014-11-11,1.318
2014-11-12,3.252
2014-11-13,9.2441
2014-11-14,-10.6242
2014-11-17,0.3226
2014-11-18,1.4469
2014-11-19,-1.7433
2014-11-20,0.0
2014-11-21,-0.8065
2014-11-24,0.813
2014-11-25,1.2903
2014-11-26,-0.9554
2014-11-28,-0.3215
2014-12-01,0.0
2014-12-02,-3.2258
2014-12-03,-1.6667
2014-12-04,1.6949
2014-12-05,-0.5
2014-12-08,1.8425
2014-12-09,1.1513
2014-12-10,-5.8537
2014-12-11,3.9724
2014-12-12,-1.1628
2014-12-15,-7.3929
2014-12-16,7.2548
2014-12-17,1.3558
2014-12-18,-8.1803
2014-12-19,7.8182
2014-12-22,0.0
2014-12-23,9.6121
2014-12-24,-7.6923
2014-12-26,0.0
2014-12-29,-8.3333
2014-12-30,7.4489
2014-12-31,0.0053
2015-01-02,14.2132
2015-01-05,17.1852
2015-01-06,2.9455999999999998
2015-01-07,-4.0894
2015-01-08,38.0282
2015-01-09,-2.4119
2015-01-12,-1.616
2015-01-13,2.4143
2015-01-14,18.7738
2015-01-15,-3.0173
2015-01-16,-0.819
2015-01-20,12.3039
2015-01-21,-3.6029
2015-01-22,-4.5767
2015-01-23,8.3133
2015-01-26,7.2315
2015-01-27,11.7009
2015-01-28,-4.4978
2015-01-29,-1.2903
2015-01-30,3.268
2015-02-02,-2.5324
2015-02-03,-10.259
2015-02-04,-7.5516
2015-02-05,-4.2764
2015-02-06,12.1014
2015-02-09,1.7505
2015-02-10,2.0072
2015-02-11,-1.4758
2015-02-12,-1.0699
2015-02-13,1.7304
2015-02-17,-65.4855
2015-02-18,-8.6242
2015-02-19,-1.3483
2015-02-20,-3.1891
2015-02-23,-4.0
2015-02-24,0.9804
2015-02-25,0.9709
2015-02-26,0.7212
