ticker,GNPX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-04-02,-4.2553
2018-04-03,-8.8889
2018-04-04,-6.339
2018-04-05,7.7316
2018-04-06,31.738
2018-04-09,-7.3394
2018-04-10,-6.5347
2018-04-11,7.839
2018-04-12,-1.3752
2018-04-13,2.1912
2018-04-16,-5.4581
2018-04-17,-0.8247
2018-04-18,-4.158
2018-04-19,-7.8178
2018-04-20,0.7154
2018-04-23,3.8551
2018-04-24,12.027
2018-04-25,18.2826
2018-04-26,86.7572
2018-04-27,38.2727
2018-04-30,1.8409
2018-05-01,-14.7837
2018-05-02,6.0606
2018-05-03,2.6429
2018-05-04,-1.183
2018-05-07,-2.8169
2018-05-08,15.2174
2018-05-09,-3.3333
2018-05-10,-13.2726
2018-05-11,-18.4546
2018-05-14,-19.0432
2018-05-15,20.2273
2018-05-16,11.3422
2018-05-17,-1.6129
2018-05-18,-6.9025
2018-05-21,-5.2827
2018-05-22,-1.1742
2018-05-23,-2.9703
2018-05-24,2.2449
2018-05-25,-11.5768
2018-05-29,4.8533
2018-05-30,2.3681
2018-05-31,10.3049
2018-06-01,2.4786
2018-06-04,1.0233
2018-06-05,-0.8287
2018-06-06,-1.0214
2018-06-07,0.2814
2018-06-08,-3.3676
2018-06-11,-6.3892
2018-06-12,-3.3092
2018-06-13,-4.8128
2018-06-14,-7.6404
2018-06-15,-4.8662
2018-06-18,-0.2558
2018-06-19,-11.538499999999999
2018-06-20,7.5362
2018-06-21,6.6038
2018-06-22,3.1606
2018-06-25,-5.3309
2018-06-26,11.4563
2018-06-27,-6.9686
2018-06-28,-1.3733
2018-06-29,-3.0038
2018-07-02,0.6186
2018-07-03,1.9455
2018-07-05,2.416
2018-07-06,-5.5901
2018-07-09,6.2829
2018-07-10,-2.1975
2018-07-11,1.2658
2018-07-12,-0.75
2018-07-13,-2.5504
2018-07-16,-2.4233000000000002
2018-07-17,-0.9603
2018-07-18,-1.1702
2018-07-19,5.4127
2018-07-20,-5.5199
2018-07-23,2.038
2018-07-24,-3.4621
2018-07-25,-4.6897
2018-07-26,1.013
2018-07-27,-54.5845
2018-07-30,-3.4699999999999998
2018-07-31,-0.9804
2018-08-01,5.9406
2018-08-02,-2.8037
2018-08-03,-6.0897
2018-08-06,2.3891
2018-08-07,4.3333
2018-08-08,-5.7508
2018-08-09,3.5593
2018-08-10,-2.455
2018-08-13,-5.7047
2018-08-14,2.847
2018-08-15,-4.1522
2018-08-16,-0.361
2018-08-17,-0.3623
