ticker,ATOM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-08-05,7.7333
2016-08-08,-0.9901
2016-08-09,-1.375
2016-08-10,1.2674
2016-08-11,-1.627
2016-08-12,-0.6361
2016-08-15,1.7926
2016-08-16,1.8868
2016-08-17,-0.6173
2016-08-18,0.0
2016-08-19,-0.2484
2016-08-22,0.8717
2016-08-23,-0.6173
2016-08-24,-0.1242
2016-08-25,0.1244
2016-08-26,-0.1242
2016-08-29,2.7363
2016-08-30,16.8281
2016-08-31,-3.2124
2016-09-01,-1.0707
2016-09-02,0.1082
2016-09-06,-1.6216
2016-09-07,6.5934
2016-09-08,-1.0309
2016-09-09,-4.5833
2016-09-12,-0.7642
2016-09-13,-0.9901
2016-09-14,0.2222
2016-09-15,-4.878
2016-09-16,-5.4779
2016-09-19,2.836
2016-09-20,4.7962
2016-09-21,0.6865
2016-09-22,-7.1591
2016-09-23,1.224
2016-09-26,-2.6602
2016-09-27,0.1242
2016-09-28,-0.2481
2016-09-29,2.1144
2016-09-30,-4.9939
2016-10-03,2.1795
2016-10-04,-1.5056
2016-10-05,-0.6369
2016-10-06,-0.641
2016-10-07,-3.2258
2016-10-10,2.52
2016-10-11,-5.7095
2016-10-12,5.5172
2016-10-13,-3.9215999999999998
2016-10-14,2.1769
2016-10-17,-0.5992
2016-10-18,1.0047
2016-10-19,1.9893999999999998
2016-10-20,3.5111
2016-10-21,-1.005
2016-10-24,0.7614
2016-10-25,0.7557
2016-10-26,-4.75
2016-10-27,0.6562
2016-10-28,-0.1304
2016-10-31,-3.1332
2016-11-01,-5.6604
2016-11-02,0.1429
2016-11-03,0.5724
2016-11-04,-2.1294
2016-11-07,0.0
2016-11-08,-2.029
2016-11-09,-0.1479
2016-11-10,0.7407
2016-11-11,-2.2059
2016-11-14,0.0996
2016-11-15,0.5014
2016-11-16,3.8864
2016-11-17,3.5971
2016-11-18,0.0
2016-11-21,-8.1944
2016-11-22,5.5976
2016-11-23,-1.8625
2016-11-25,2.9196999999999997
2016-11-28,-6.383
2016-11-29,5.7576
2016-11-30,-3.2951
2016-12-01,-3.4074
2016-12-02,5.5215
2016-12-05,-5.5233
2016-12-06,0.1798
2016-12-07,4.7933
2016-12-08,-0.3929
2016-12-09,2.9848
2016-12-12,0.1446
2016-12-13,0.5706
2016-12-14,-2.1277
2016-12-15,1.4493
2016-12-16,-2.8571
2016-12-19,0.0
2016-12-20,-5.0
2016-12-21,-7.1188
2016-12-22,1.6644999999999999
2016-12-23,-1.6393
