ticker,POLA US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2016-12-07,28.5714
2016-12-08,-4.4444
2016-12-09,3.1395
2016-12-12,-7.779
2016-12-13,-3.0562
2016-12-14,9.9622
2016-12-15,3.4404
2016-12-16,1.4412
2016-12-19,2.1858
2016-12-20,7.2727
2016-12-21,2.6919
2016-12-22,-1.8447
2016-12-23,-0.6924
2016-12-27,-3.0876
2016-12-28,-10.2775
2016-12-29,2.4055
2016-12-30,0.1119
2017-01-03,-3.9106
2017-01-04,-2.6744
2017-01-05,-0.1195
2017-01-06,0.4785
2017-01-09,-0.8333
2017-01-10,-0.4802
2017-01-11,-1.2063
2017-01-12,-2.8083
2017-01-13,2.7638
2017-01-17,-2.6895
2017-01-18,-3.1407
2017-01-19,5.3178
2017-01-20,0.7389
2017-01-23,0.0
2017-01-24,-0.1222
2017-01-25,0.0
2017-01-26,2.2032
2017-01-27,-2.7545
2017-01-30,1.2315
2017-01-31,0.9732
2017-02-01,-2.0482
2017-02-02,-3.8129999999999997
2017-02-03,0.8951
2017-02-06,0.7589
2017-02-07,0.0016
2017-02-08,-0.6289
2017-02-09,4.4304
2017-02-10,2.0606
2017-02-13,6.2945
2017-02-14,-2.1229
2017-02-15,1.8265
2017-02-16,2.5785
2017-02-17,-2.623
2017-02-21,0.0
2017-02-22,-1.0101
2017-02-23,2.1542
2017-02-24,0.6659
2017-02-27,-0.441
2017-02-28,-3.433
2017-03-01,0.9174
2017-03-02,-7.2727
2017-03-03,7.1063
2017-03-06,5.6079
2017-03-07,-0.8667
2017-03-08,-0.6557
2017-03-09,-1.7602
2017-03-10,-0.366
2017-03-13,4.5259
2017-03-14,-2.6882
2017-03-15,-6.1878
2017-03-16,-4.4759
2017-03-17,-5.7953
2017-03-20,4.712
2017-03-21,2.0
2017-03-22,-0.7353
2017-03-23,-1.6049
2017-03-24,2.0075
2017-03-27,1.107
2017-03-28,-0.4866
2017-03-29,-1.2225
2017-03-30,-0.2475
2017-03-31,2.9777
2017-04-03,3.3735
2017-04-04,3.6131
2017-04-05,0.4499
2017-04-06,0.0
2017-04-07,2.0157
2017-04-10,-3.7321999999999997
2017-04-11,0.3421
2017-04-12,-5.7955
2017-04-13,-2.2919
2017-04-17,-2.963
2017-04-18,-0.6361
2017-04-19,-5.8899
2017-04-20,4.0816
2017-04-21,-1.4379
2017-04-24,-2.6525
2017-04-25,-12.8065
2017-04-26,-9.5313
2017-04-27,-3.2815
2017-04-28,-4.8214
2017-05-01,9.7561
