ticker,FVRR US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2019-06-13,90.0
2019-06-14,-21.0777
2019-06-17,9.1775
2019-06-18,-9.395
2019-06-19,-7.9615
2019-06-20,-2.2323
2019-06-21,-0.9989
2019-06-24,5.3333
2019-06-25,-0.7184
2019-06-26,-0.0689
2019-06-27,-0.7241
2019-06-28,3.1608
2019-07-01,-7.4074
2019-07-02,-0.2545
2019-07-03,-0.5833
2019-07-05,-0.0733
2019-07-08,-4.2202
2019-07-09,0.6897
2019-07-10,-6.5449
2019-07-11,-5.741
2019-07-12,1.4255
2019-07-15,0.3407
2019-07-16,0.9338
2019-07-17,0.799
2019-07-18,1.5436
2019-07-19,2.2186
2019-07-22,0.8842
2019-07-23,-1.0359
2019-07-24,3.0193
2019-07-25,0.7034
2019-07-26,-2.2119
2019-07-29,0.1984
2019-07-30,-1.5446
2019-07-31,2.1722
2019-08-01,1.8898000000000001
2019-08-02,-2.0866
2019-08-05,-8.2478
2019-08-06,5.6774000000000004
2019-08-07,9.2796
2019-08-08,-8.1564
2019-08-09,-8.9213
2019-08-12,-0.3562
2019-08-13,-2.7256
2019-08-14,-1.6537
2019-08-15,-0.2335
2019-08-16,1.4981
2019-08-19,4.3358
2019-08-20,2.8736
2019-08-21,4.3404
2019-08-22,-2.7595
2019-08-23,-0.9318
2019-08-26,-4.9594000000000005
2019-08-27,-3.2839
2019-08-28,7.7674
2019-08-29,1.7694999999999999
2019-08-30,-0.8058
2019-09-03,-4.0616
2019-09-04,-0.7576
2019-09-05,-2.7391
2019-09-06,-0.1385
2019-09-09,-3.2824999999999998
2019-09-10,-2.1511
2019-09-11,-6.0088
2019-09-12,0.8316
2019-09-13,-0.6701
2019-09-16,7.5245999999999995
2019-09-17,1.7375
2019-09-18,-4.3169
2019-09-19,-5.5032
2019-09-20,-2.6233
2019-09-23,-2.1552
2019-09-24,-2.6432
2019-09-25,2.6584
2019-09-26,1.5977999999999999
2019-09-27,-1.0304
2019-09-30,2.4657999999999998
2019-10-01,-0.2674
2019-10-02,1.0188
2019-10-03,6.3163
2019-10-04,3.0954
2019-10-07,4.5521
2019-10-08,-1.8064
2019-10-09,-2.6887
2019-10-10,0.2908
2019-10-11,-0.1933
2019-10-14,0.7264
2019-10-15,0.9615
2019-10-16,0.7143
2019-10-17,1.7494
2019-10-18,-4.7398
2019-10-21,0.5366
2019-10-22,1.7467000000000001
2019-10-23,3.2427
2019-10-24,5.358
2019-10-25,4.6909
2019-10-28,2.9732
