ticker,WLK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2004-08-11,1.0345
2004-08-12,1.0922
2004-08-13,0.7427
2004-08-16,-0.134
2004-08-17,2.0134
2004-08-18,-0.5263
2004-08-19,0.7937
2004-08-20,1.706
2004-08-23,1.6774
2004-08-24,2.0305
2004-08-25,1.3682
2004-08-26,2.8221
2004-08-27,4.6539
2004-08-30,0.3421
2004-08-31,-0.5682
2004-09-01,2.2857
2004-09-02,0.0
2004-09-03,-0.2793
2004-09-07,1.6806999999999999
2004-09-08,1.5427
2004-09-09,2.5502000000000002
2004-09-10,2.1164
2004-09-13,0.1554
2004-09-14,-1.7589000000000001
2004-09-15,-1.8957000000000002
2004-09-16,1.986
2004-09-17,-1.0526
2004-09-20,2.5
2004-09-21,1.1936
2004-09-22,-0.4103
2004-09-23,1.4418
2004-09-24,4.3147
2004-09-27,3.017
2004-09-28,2.598
2004-09-29,4.7422
2004-09-30,-1.978
2004-10-01,-1.1211
2004-10-04,-0.2268
2004-10-05,0.4545
2004-10-06,2.2624
2004-10-07,0.6195
2004-10-08,-0.1319
2004-10-11,0.0881
2004-10-12,-1.4078
2004-10-13,-2.722
2004-10-14,2.3853
2004-10-15,-1.3441
2004-10-18,1.0445
2004-10-19,-1.2135
2004-10-20,-0.1365
2004-10-21,-0.2278
2004-10-22,-0.6393
2004-10-25,1.5625
2004-10-26,3.6199
2004-10-27,2.6201
2004-10-28,-3.8298
2004-10-29,2.0796
2004-11-01,-0.0867
2004-11-02,2.6898
2004-11-03,0.9717
2004-11-04,0.6276
2004-11-05,3.8254
2004-11-08,-0.2002
2004-11-09,-0.1605
2004-11-10,-0.1608
2004-11-11,0.2415
2004-11-12,4.4177
2004-11-15,0.9615
2004-11-16,5.7143
2004-11-17,5.8378
2004-11-18,1.0598
2004-11-19,-1.1463
2004-11-22,0.7162
2004-11-23,-0.1355
2004-11-24,-1.6616
2004-11-26,1.5516999999999999
2004-11-29,1.8676
2004-11-30,4.6333
2004-12-01,3.6954000000000002
2004-12-02,-5.5914
2004-12-03,1.6922000000000001
2004-12-06,1.3439999999999999
2004-12-07,-5.9678
2004-12-08,0.8059
2004-12-09,-0.3331
2004-12-10,-3.0414
2004-12-13,8.5488
2004-12-14,0.6986
2004-12-15,0.7569
2004-12-16,-1.252
2004-12-17,-3.2964
2004-12-20,-0.3605
2004-12-21,4.9342
2004-12-22,5.3292
2004-12-23,0.5952
2004-12-27,0.5917
2004-12-28,0.0588
2004-12-29,-0.0294
