ticker,NUGN US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2015-02-04,2908.0
2015-02-24,1823.0769
2015-02-25,0.0
2015-02-26,0.0
2015-02-27,-50.0
2015-03-02,-40.0
2015-03-03,41.3333
2015-03-04,17.9245
2015-03-05,0.0
2015-03-09,-49.2
2015-03-10,14.1732
2015-03-11,7.5862
2015-03-12,5.1282
2015-03-13,15.8537
2015-03-16,0.0
2015-03-17,0.0
2015-03-18,-5.2632
2015-03-19,-7.7778
2015-03-20,0.0
2015-03-23,-4.2169
2015-03-24,0.0
2015-03-25,6.2893
2015-03-26,11.8343
2015-03-27,3.7037
2015-03-30,4.5918
2015-03-31,-3.4146
2015-04-01,0.0
2015-04-02,6.8182
2015-04-06,4.0189
2015-04-07,1.3636
2015-04-08,0.8969
2015-04-09,0.4444
2015-04-10,1.7699
2015-04-13,0.0
2015-04-14,0.0
2015-04-15,0.8696
2015-04-16,1.2931
2015-04-17,0.4255
2015-04-20,1.2711999999999999
2015-04-21,1.2551999999999999
2015-04-22,0.8264
2015-04-23,0.4098
2015-04-24,1.2245
2015-04-27,0.0
2015-04-28,0.0
2015-04-29,0.4032
2015-04-30,0.4016
2015-05-01,0.0
2015-05-04,0.0
2015-05-05,0.0
2015-05-06,0.0
2015-05-07,1.2
2015-05-08,0.3953
2015-05-11,1.1811
2015-05-12,1.1673
2015-05-13,1.1538
2015-05-14,2.2814
2015-05-15,1.487
2015-05-18,3.6630000000000003
2015-05-19,3.5336
2015-05-20,3.0375
2015-05-21,2.3518
2015-05-22,0.9709
2015-05-26,3.8462
2015-05-27,4.0123
2015-05-28,2.3739
2015-05-29,1.7391
2015-06-01,2.849
2015-06-02,1.9391
2015-06-03,2.1739
2015-06-04,6.117
2015-06-05,4.7619
2015-06-08,3.11
2015-06-09,-0.232
2015-06-10,0.2326
2015-06-11,-39.4432
2015-06-12,22.6054
2015-06-15,1.5625
2015-06-16,-0.9231
2015-06-17,-6.5217
2015-06-18,2.99
2015-06-19,2.5806
2015-06-22,0.3145
2015-06-23,2.1944
2015-06-24,0.9202
2015-06-25,2.7356
2015-06-26,2.6627
2015-06-29,5.7637
2015-06-30,3.2698
2015-07-01,1.3193
2015-07-02,0.8073
2015-07-06,-14.234
2015-07-07,4.8193
2015-07-08,1.1494
2015-07-09,2.2727
2015-07-10,0.9722
2015-07-13,-9.7662
2015-07-14,-17.6829
2015-07-15,14.8148
2015-07-16,6.6129
2015-07-17,-0.7564
2015-07-20,-3.0488
2015-07-21,-5.9748
