ticker,NRIX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-07-24,0.0526
2020-07-27,2.9458
2020-07-28,-3.2702999999999998
2020-07-29,1.7961
2020-07-30,-1.1936
2020-07-31,1.8382
