ticker,LBAS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-07-16,207.6923
2007-07-17,-21.0
2007-07-18,7.5949
2007-07-19,7.6471
2007-07-20,8.7432
2007-07-23,7.5377
2007-07-24,2.8037
2007-07-25,2.2727
2007-07-26,3.1111
2007-07-27,1.7241
2007-07-30,2.9661
2007-07-31,1.6461000000000001
2007-08-01,2.0243
2007-08-02,2.3810000000000002
2007-08-03,1.5504
2007-08-06,1.145
2007-08-07,0.7547
2007-08-08,0.7491
2007-08-09,0.0
2007-08-10,0.0
2007-08-13,0.7435
2007-08-14,0.369
2007-08-15,0.7353
2007-08-16,1.0949
2007-08-17,0.0
2007-08-20,1.083
2007-08-21,0.7143
2007-08-22,0.7092
2007-08-23,0.7042
2007-08-24,0.6993
2007-08-27,0.6944
2007-08-28,0.6897
2007-08-29,1.0274
2007-08-30,1.0169
2007-08-31,1.3423
2007-09-04,0.9934
2007-09-05,0.3279
2007-09-06,0.9804
2007-09-07,0.6472
2007-09-10,0.3215
2007-09-11,0.641
2007-09-12,0.0
2007-09-13,0.6369
2007-09-14,0.3165
2007-09-17,0.3155
2007-09-18,0.3145
2007-09-19,0.3135
2007-09-20,0.625
2007-09-21,0.9317
2007-09-24,0.3077
2007-09-25,0.6135
2007-09-26,0.6098
2007-09-27,0.9091
2007-09-28,0.6006
2007-10-01,0.597
2007-10-02,0.8902
2007-10-03,0.5882
2007-10-04,0.8772
2007-10-05,1.1594
2007-10-08,0.8596
2007-10-09,0.8523
2007-10-10,0.2817
2007-10-11,0.2809
2007-10-12,1.1204
2007-10-15,0.554
2007-10-16,0.551
2007-10-17,0.274
2007-10-18,0.5464
2007-10-19,0.5435
2007-10-22,0.2703
2007-10-23,0.0
2007-10-24,0.5391
2007-10-25,0.2681
2007-10-26,0.2674
2007-10-29,0.2667
2007-10-30,0.266
2007-10-31,0.5305
2007-11-01,0.5277
2007-11-02,0.7874
2007-11-05,0.2604
2007-11-06,0.7792
2007-11-07,0.2577
2007-11-08,0.2571
2007-11-09,0.2564
2007-11-12,1.023
2007-11-13,0.5063
2007-11-14,1.5112999999999999
2007-11-15,0.2481
2007-11-16,0.7426
2007-11-19,0.2457
2007-11-20,1.2255
2007-11-21,0.4843
2007-11-23,0.4819
2007-11-26,0.4796
2007-11-27,2.3866
2007-11-28,5.1282
2007-11-29,-41.02
2007-11-30,-17.2932
2007-12-03,55.0
2007-12-04,2.6393
2007-12-05,1.4285999999999999
2007-12-06,12.6761
2007-12-07,4.125
