ticker,PTCT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2013-06-20,9.9333
2013-06-21,6.1249
2013-06-24,-0.8571
2013-06-25,1.0951
2013-06-26,-8.5234
2013-06-27,-15.0514
2013-06-28,10.0514
2013-07-01,0.0
2013-07-02,7.5333
2013-07-03,-6.0136
2013-07-05,0.2639
2013-07-08,4.7368
2013-07-09,-2.544
2013-07-10,1.8369
2013-07-11,3.4177
2013-07-12,3.672
2013-07-15,1.3577
2013-07-16,-3.4945
2013-07-17,7.5438
2013-07-18,3.2548
2013-07-19,-3.5326
2013-07-22,-4.338
2013-07-23,-1.2367
2013-07-24,-3.9952
2013-07-25,0.2484
2013-07-26,2.6642
2013-07-29,-0.1207
2013-07-30,-5.861
2013-07-31,0.5135
2013-08-01,-6.6411
2013-08-02,-3.8304
2013-08-05,6.1166
2013-08-06,-2.6139
2013-08-07,2.2712
2013-08-08,0.6057
2013-08-09,3.1438
2013-08-12,0.2594
2013-08-13,-2.9754
2013-08-14,4.2667
2013-08-15,-0.5754
2013-08-16,0.7074
2013-08-19,1.2771
2013-08-20,-1.4502
2013-08-21,-0.2559
2013-08-22,3.592
2013-08-23,-2.0433
2013-08-26,2.402
2013-08-27,2.284
2013-08-28,0.3018
2013-08-29,5.2347
2013-08-30,2.5728999999999997
2013-09-03,1.1706
2013-09-04,3.2507
2013-09-05,1.921
2013-09-06,-0.1571
2013-09-09,9.4913
2013-09-10,4.6935
2013-09-11,-6.6789
2013-09-12,0.098
2013-09-13,4.5054
2013-09-16,-2.6242
2013-09-17,-4.9086
2013-09-18,-0.1518
2013-09-19,-1.0644
2013-09-20,-8.4016
2013-09-23,25.7271
2013-09-24,-4.8488
2013-09-25,2.1038
2013-09-26,-1.7856999999999998
2013-09-27,-0.373
2013-09-30,0.4212
2013-10-01,4.3336
2013-10-02,-9.0665
2013-10-03,-4.7642
2013-10-04,-1.8566
2013-10-07,0.4204
2013-10-08,-11.8786
2013-10-09,0.1781
2013-10-10,3.3195
2013-10-11,-1.3195999999999999
2013-10-14,3.2558
2013-10-15,2.9279
2013-10-16,0.8753
2013-10-17,5.5857
2013-10-18,-1.1813
2013-10-21,6.6528
2013-10-22,3.5088
2013-10-23,-2.4011
2013-10-24,-1.206
2013-10-25,1.123
2013-10-28,-1.3519999999999999
2013-10-29,-2.9858000000000002
2013-10-30,-7.7195
2013-10-31,-1.3559
2013-11-01,-3.0041
2013-11-04,4.5143
2013-11-05,-1.6949
2013-11-06,-4.0601
