ticker,HBMK US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-04-18,-0.9901
2008-05-01,5.0
2008-05-02,-4.2857
2008-05-07,0.4975
2008-05-13,3.9604
2008-05-14,-4.2857
2008-05-29,0.4975
2008-05-30,-0.495
2008-09-18,-37.8109
2008-11-12,-15.2
2008-11-21,-33.9623
2008-11-25,7.1429
2008-11-26,-6.6667
2008-12-01,-14.2857
2008-12-02,0.0
2008-12-05,8.3333
2008-12-08,-21.5385
2008-12-09,-90.1961
2008-12-10,0.0
2008-12-11,-62.0
2008-12-12,-26.3158
2008-12-15,-28.5714
2008-12-16,40.0
2008-12-19,78.5714
2008-12-24,-20.0
2008-12-26,50.0
2009-01-02,0.0
2009-01-15,-33.3333
2009-01-21,0.0
2009-02-02,-10.0
2009-02-25,66.6667
2009-03-04,-3.3333
2009-03-05,-31.0345
2009-03-06,-15.0
2009-03-11,47.0588
2009-03-13,-20.0
2009-03-19,25.0
2009-03-25,0.0
2009-03-30,-16.0
2009-03-31,-4.7619
2009-04-01,-5.0
2009-04-06,31.5789
2009-04-20,0.0
2009-04-22,0.0
2009-05-07,20.0
2009-05-11,33.3333
2009-05-21,12.5
2009-05-22,0.0
2009-05-26,0.0
2009-06-02,-11.1111
2009-06-03,0.0
2009-06-05,12.5
2009-06-09,22.2222
2009-06-30,-9.0909
2009-07-01,-40.0
2009-07-06,0.0
2009-08-17,-33.3333
2009-09-08,-25.0
2009-09-09,-33.3333
2009-09-15,0.0
2009-10-08,0.0
2009-10-28,100.0
2009-11-23,0.0
2009-12-09,0.0
2010-01-13,0.0
2010-03-01,-2.5
2010-03-02,2.5641
2010-03-03,15.0
2010-03-08,21.7391
2010-03-09,0.0
2010-03-10,0.0
2010-03-12,-10.7143
2010-03-15,12.0
2010-03-17,-10.7143
2010-03-22,12.0
2010-03-24,-10.7143
2010-03-29,0.0
2010-04-05,-16.0
2010-04-08,19.0476
2010-04-20,-16.0
2010-05-03,0.0
2010-05-05,-4.7619
2010-05-24,50.0
2010-05-26,0.0
2010-05-27,0.0
2010-05-28,0.0
2010-06-01,0.0
2010-06-02,66.6667
2010-06-04,-20.0
2010-06-07,37.5
2010-06-08,127.2727
2010-06-09,4.0
2010-06-10,23.0769
2010-06-11,0.0
2010-06-14,-18.75
2010-06-15,53.8462
2010-06-16,5.0
2010-06-21,2.3810000000000002
2010-06-22,6.9767
2010-06-23,0.0
2010-06-24,2.1739
2010-06-25,6.8085
2010-06-28,-0.3984
2010-07-01,-4.0
