ticker,RYTM US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2017-10-05,76.4706
2017-10-06,-15.8333
2017-10-09,-2.6931000000000003
2017-10-10,5.8608
2017-10-11,-1.115
2017-10-12,-4.1213
2017-10-13,-0.9732
2017-10-16,7.5348
2017-10-17,-7.6161
2017-10-18,-1.6282
2017-10-19,-2.577
2017-10-20,-0.7312
2017-10-23,3.7262
2017-10-24,1.2949
2017-10-25,-7.0928
2017-10-26,1.9085999999999999
2017-10-27,3.3101
2017-10-30,2.9511
2017-10-31,4.7501999999999995
2017-11-01,2.0328
2017-11-02,-7.7011
2017-11-03,7.4719999999999995
2017-11-06,-6.5276
2017-11-07,-7.3967
2017-11-08,3.6145
2017-11-09,-5.2541
2017-11-10,10.0455
2017-11-13,5.1632
2017-11-14,-5.6559
2017-11-15,-0.0833
2017-11-16,0.5417
2017-11-17,6.9208
2017-11-20,4.6512
2017-11-21,3.3333
2017-11-22,3.9785
2017-11-24,-0.4826
2017-11-27,0.1386
2017-11-28,-0.3459
2017-11-29,-3.471
2017-11-30,2.7688
2017-12-01,5.8083
2017-12-04,-0.8267
2017-12-05,-4.3681
2017-12-06,-4.6025
2017-12-07,3.2529
2017-12-08,2.9735
2017-12-11,-4.8814
2017-12-12,-2.3853
2017-12-13,0.4443
2017-12-14,3.3542
2017-12-15,0.8916
2017-12-18,7.8473
2017-12-19,-1.9992999999999999
2017-12-20,-0.1338
2017-12-21,-3.0476
2017-12-22,-3.7306
2017-12-26,5.0233
2017-12-27,-0.7858
2017-12-28,0.6543
2017-12-29,-0.5816
2018-01-02,-3.6475999999999997
2018-01-03,4.7857
2018-01-04,-4.1241
2018-01-05,-0.6754
2018-01-08,-0.3937
2018-01-09,-5.5336
2018-01-10,1.5215
2018-01-11,0.9741
2018-01-12,1.6698
2018-01-16,-1.7883
2018-01-17,1.5608
2018-01-18,-0.1098
2018-01-19,2.1612
2018-01-22,4.1233
2018-01-23,0.3444
2018-01-24,3.0542
2018-01-25,2.0979
2018-01-26,3.9465
2018-01-29,1.1923
2018-01-30,-0.8062
2018-01-31,-1.3129
2018-02-01,-1.6471
2018-02-02,-4.8631
2018-02-05,-4.4008
2018-02-06,3.0807
2018-02-07,-2.3703
2018-02-08,-9.5355
2018-02-09,0.1945
2018-02-12,-0.7376
2018-02-13,-1.6817
2018-02-14,2.5855
2018-02-15,2.1714
2018-02-16,-0.3416
2018-02-20,-1.2947
2018-02-21,0.5015
2018-02-22,0.0384
2018-02-23,5.9478
