ticker,LAZ US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-05-05,-4.0
2005-05-06,0.4167
2005-05-09,-2.9046
2005-05-10,2.5641
2005-05-11,-4.7083
2005-05-12,-5.5094
2005-05-13,1.342
2005-05-16,0.0
2005-05-17,-4.5662
2005-05-18,2.3923
2005-05-19,1.4019
2005-05-20,-1.659
2005-05-23,-2.343
2005-05-24,-0.6718
2005-05-25,1.4976
2005-05-26,4.2361
2005-05-27,-0.5479
2005-05-31,-0.5969
2005-06-01,0.0
2005-06-02,1.1547
2005-06-03,-1.1416
2005-06-06,-0.3695
2005-06-07,-1.4372
2005-06-08,0.8467
2005-06-09,0.0466
2005-06-10,1.4452
2005-06-13,1.7923
2005-06-14,4.2889
2005-06-15,-0.8658
2005-06-16,5.8515
2005-06-17,-1.1139000000000001
2005-06-20,-1.2516
2005-06-21,-1.1407
2005-06-22,-0.7265
2005-06-23,-0.6888
2005-06-24,1.127
2005-06-27,0.5572
2005-06-28,0.2984
2005-06-29,-1.4025
2005-06-30,0.2155
2005-07-01,-0.9462
2005-07-05,-0.1737
2005-07-06,2.1314
2005-07-07,-1.1925
2005-07-08,1.2069
2005-07-11,1.2777
2005-07-12,0.5887
2005-07-13,-0.5853
2005-07-14,1.3457
2005-07-15,-0.6224
2005-07-18,-0.2923
2005-07-19,1.5493999999999999
2005-07-20,2.268
2005-07-21,-1.1694
2005-07-22,0.3264
2005-07-25,-1.1387
2005-07-26,-2.4681
2005-07-27,-0.2109
2005-07-28,-0.0845
2005-07-29,0.9306
2005-08-01,0.5029
2005-08-02,-1.5013
2005-08-03,-1.2701
2005-08-04,-0.6432
2005-08-05,-0.7337
2005-08-08,0.3913
2005-08-09,2.2087
2005-08-10,-2.5423999999999998
2005-08-11,0.4348
2005-08-12,2.2511
2005-08-15,1.7358
2005-08-16,1.7478
2005-08-17,-0.4826
2005-08-18,0.2883
2005-08-19,0.9446
2005-08-22,0.5289
2005-08-23,1.5783
2005-08-24,-0.3984
2005-08-25,0.24
2005-08-26,0.5587
2005-08-29,-1.9444
2005-08-30,1.4163999999999999
2005-08-31,1.4365999999999999
2005-09-01,-0.3541
2005-09-02,0.5132
2005-09-06,0.0
2005-09-07,1.9639
2005-09-08,-1.2711999999999999
2005-09-09,-1.4436
2005-09-12,0.673
2005-09-13,0.2359
2005-09-14,-2.1185
2005-09-15,1.2024
2005-09-16,-0.7921
2005-09-19,-1.7964
2005-09-20,0.4065
2005-09-21,-2.7935
2005-09-22,-1.2078
