ticker,BIOX US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2018-03-23,0.4167
2018-03-27,-0.4149
2018-03-29,-0.2083
2018-04-02,0.4175
2018-04-03,-0.4158
2018-04-04,0.7307
2018-04-06,0.0
2018-04-09,0.2073
2018-04-10,0.3102
2018-04-11,0.0
2018-04-12,-0.5155
2018-04-13,-0.0435
2018-04-16,0.3546
2018-04-18,-0.7231
2018-04-19,0.4162
2018-04-20,0.0
2018-04-24,-0.1036
2018-04-25,0.4149
2018-04-26,-0.3099
2018-04-27,0.0
2018-04-30,0.0
2018-05-03,0.5181
2018-05-04,0.2062
2018-05-07,0.0
2018-05-11,-0.2058
2018-05-14,-0.2062
2018-05-15,-0.3099
2018-05-16,0.0
2018-05-17,0.0
2018-05-18,0.1036
2018-05-22,-1.1387
2018-05-24,1.2565
2018-05-29,-0.3102
2018-05-30,0.6224
2018-05-31,0.0
2018-06-04,-0.4845
2018-06-12,-0.1347
2018-06-19,-0.1027
2018-06-25,0.4143
2018-06-26,0.3102
2018-06-27,0.0
2018-06-29,-0.1031
2018-07-02,-0.2064
2018-07-03,0.0
2018-07-09,0.0
2018-07-12,0.3102
2018-07-13,-0.1031
2018-07-16,0.0
2018-07-18,-0.2064
2018-07-23,0.2079
2018-07-24,0.1022
2018-07-27,-0.2062
2018-07-31,0.1291
2018-08-01,0.0774
2018-08-03,-0.2062
2018-08-07,0.4132
2018-08-14,-0.2058
2018-08-16,-0.2062
2018-08-21,0.2066
2018-08-22,0.2062
2018-08-27,-0.2058
2018-08-31,0.3093
2018-09-12,-0.1089
2018-09-13,0.1091
2018-09-14,0.0
2018-09-19,0.0
2018-09-20,-0.3083
2018-09-21,0.0
2018-09-24,1.5464
2018-09-25,0.5076
2018-09-26,-1.9192
2018-09-28,0.4119
2018-10-01,-0.2051
2018-10-04,0.2055
2018-10-05,-0.3077
2018-10-10,0.0
2018-10-11,0.1029
2018-10-12,-0.7194
2018-10-16,0.4141
2018-10-17,0.2062
2018-10-18,0.1029
2018-10-22,0.1028
2018-10-23,0.0
2018-10-26,0.1027
2018-11-05,0.001
2018-11-08,-0.2062
2018-11-09,2.9805
2018-11-12,-0.1996
2018-11-13,0.2
2018-11-15,0.0998
2018-11-16,-0.2991
2018-11-19,0.0
2018-11-20,0.0
2018-11-23,0.4
2018-11-26,-0.3984
2018-11-27,0.1
2018-11-29,-0.0999
2018-12-11,1.0
2018-12-13,-0.396
2018-12-14,-0.0994
2018-12-18,0.0
2018-12-20,0.0
