ticker,ISBC US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2005-10-12,0.2
2005-10-13,-0.499
2005-10-14,0.9027
2005-10-17,-0.0994
2005-10-18,0.199
2005-10-19,0.2979
2005-10-20,0.099
2005-10-21,0.0
2005-10-24,2.1761
2005-10-25,1.8393000000000002
2005-10-26,0.9506
2005-10-27,-0.6591
2005-10-28,0.4739
2005-10-31,0.0
2005-11-01,0.0
2005-11-02,0.1887
2005-11-03,-0.8475
2005-11-04,0.0
2005-11-07,0.0
2005-11-08,0.1899
2005-11-09,-0.2844
2005-11-10,-0.1901
2005-11-11,0.1905
2005-11-14,-0.6654
2005-11-15,-0.4785
2005-11-16,-0.8654
2005-11-17,-0.097
2005-11-18,-0.3883
2005-11-21,1.7544
2005-11-22,0.5747
2005-11-23,1.4285999999999999
2005-11-25,-0.4695
2005-11-28,0.8491
2005-11-29,0.2011
2005-11-30,0.6395
2005-12-01,-0.2783
2005-12-02,1.3953
2005-12-05,-0.9174
2005-12-06,-0.3704
2005-12-07,0.0929
2005-12-08,0.0929
2005-12-09,0.8349
2005-12-12,1.012
2005-12-13,0.0
2005-12-14,-0.1821
2005-12-15,-0.365
2005-12-16,0.641
2005-12-19,-1.3649
2005-12-20,0.4613
2005-12-21,0.2755
2005-12-22,0.9158
2005-12-23,-0.1815
2005-12-27,0.0909
2005-12-28,-0.0908
2005-12-29,0.0
2005-12-30,0.2727
2006-01-03,0.272
2006-01-04,0.2712
2006-01-05,0.0902
2006-01-06,0.991
2006-01-09,1.5165
2006-01-10,2.3726
2006-01-11,0.2575
2006-01-12,-0.1712
2006-01-13,0.4288
2006-01-17,0.2562
2006-01-18,-0.2555
2006-01-19,1.5371000000000001
2006-01-20,0.5046
2006-01-23,-0.251
2006-01-24,0.2517
2006-01-25,0.1674
2006-01-26,0.5858
2006-01-27,1.1617
2006-01-30,-0.2463
2006-01-31,-1.3992
2006-02-01,0.1669
2006-02-02,-0.0833
2006-02-03,-0.6672
2006-02-06,0.4198
2006-02-07,-1.8395000000000001
2006-02-08,1.6183999999999998
2006-02-09,-0.4191
2006-02-10,-0.5051
2006-02-13,0.1692
2006-02-14,1.0135
2006-02-15,0.3344
2006-02-16,2.0833
2006-02-17,-0.2449
2006-02-21,-0.7365
2006-02-22,0.6101
2006-02-23,0.213
2006-02-24,-0.4088
2006-02-27,0.7389
2006-02-28,1.467
2006-03-01,1.8474
2006-03-02,0.2287
2006-03-03,0.48
2006-03-06,0.1566
2006-03-07,0.3909
