ticker,PRTT US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2008-05-05,1650.0
2009-01-09,-28.5714
2010-05-17,304.0
2010-05-18,0.9901
2010-06-22,12.7451
2010-12-31,0.0
2011-01-21,-8.6957
2011-01-24,-3.8095
2011-01-26,0.0
2011-04-06,3.9604
2011-06-03,-3.8095
2011-07-13,0.0
2011-07-15,0.0
2011-07-18,0.0
2011-07-25,0.0
2011-07-26,0.0
2011-07-27,0.0
2011-07-28,-0.9901
2011-08-02,0.0
2011-08-03,0.0
2011-09-07,0.0
2011-09-19,0.0
2011-09-27,-2.0
2011-10-20,-4.0816
2011-10-21,0.0
2011-10-24,-42.5532
2011-11-04,0.0
2011-12-15,0.0
2011-12-16,-16.6667
2011-12-29,-20.0
2012-03-29,-72.2222
2012-06-21,0.0
2012-06-22,-2.0
2013-01-07,53.0612
2013-03-21,-66.6667
2014-01-16,200.0
2014-01-17,100.0
2014-01-21,-33.0
2014-01-22,0.0
2014-01-28,0.0
2014-01-30,0.0
2014-02-03,-0.4975
2014-02-05,0.0
2014-02-06,0.0
2014-02-11,0.0
2014-02-12,0.0
2014-03-10,-60.0
2014-04-11,12.5
2014-04-14,66.6667
2014-04-15,-46.6667
2014-04-23,87.5
2014-04-29,-46.6667
2014-05-06,-12.5
2014-05-20,0.0
2014-05-21,114.2857
2014-05-30,-53.3333
2014-08-14,0.0
2014-09-26,285.7143
2014-09-29,-62.963
2014-09-30,0.0
2014-10-01,0.0
2014-10-03,100.0
2014-10-06,350.0
2014-10-07,-77.7778
2014-10-08,-9.9375
2014-10-09,-0.0694
2014-10-10,122.2222
2014-10-13,-2.5
2014-10-15,-53.8141
2014-10-16,11.034
2014-10-17,-15.0
2014-10-27,17.647100000000002
2014-10-28,0.0
2014-10-29,75.0
2014-10-31,-45.6786
2014-11-03,5.194
2014-12-24,-60.0
2015-01-06,-91.875
2015-01-07,-34.6154
2015-01-08,-41.1765
2015-01-12,-10.0
2015-01-13,-11.1111
2015-01-15,-10.0
2015-01-16,-16.6667
2015-01-22,0.0
2015-01-26,-25.3333
2015-01-28,-1.7856999999999998
2015-02-03,0.0
2015-02-04,0.0
2015-02-09,34.5455
2015-02-12,0.0
2015-02-18,35.1351
2015-02-19,-25.0
2015-02-24,-13.3333
2015-02-25,5.3846
2015-03-05,20.438
2015-03-06,-21.2121
2015-03-13,21.5385
2015-03-17,58.2278
2015-03-18,0.0
2015-03-19,-26.0
2015-03-20,-5.4054
2015-03-23,-2.8571
