ticker,APTS US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-04-01,-1.5
2011-04-04,1.0152
2011-04-05,-0.402
2011-04-06,0.9082
2011-04-07,-0.01
2011-04-08,-0.8888
2011-04-11,0.9069
2011-04-12,-0.7
2011-04-13,0.5035
2011-04-14,-0.6012
2011-04-15,-1.0081
2011-04-18,0.1018
2011-04-19,0.2035
2011-04-20,-0.5076
2011-04-21,-0.4082
2011-04-25,1.0246
2011-04-26,-0.1014
2011-04-27,-0.5076
2011-04-28,0.0
2011-04-29,-1.2245
2011-05-02,-0.3099
2011-05-03,-1.4508
2011-05-04,0.3155
2011-05-05,-0.9434
2011-05-06,-3.0688
2011-05-09,0.655
2011-05-10,-0.1085
2011-05-11,-1.3029
2011-05-12,0.7701
2011-05-13,-0.2183
2011-05-16,0.4376
2011-05-17,0.5447
2011-05-18,1.8418
2011-05-19,-0.3191
2011-05-20,-0.5336
2011-05-23,-0.5365
2011-05-24,0.3236
2011-05-25,-1.1828
2011-05-26,-1.4853
2011-05-27,2.06
2011-05-31,0.5411
2011-06-01,-2.0452
2011-06-02,-1.6319
2011-06-03,-1.6925
2011-06-06,-1.4773
2011-06-07,-3.4602
2011-06-08,2.3895
2011-06-09,4.5508
2011-06-10,-2.1205
2011-06-13,-1.1403
2011-06-14,-0.5767
2011-06-15,-0.116
2011-06-16,1.5375
2011-06-17,-1.5142
2011-06-20,0.9292
2011-06-21,-1.496
2011-06-22,0.4673
2011-06-23,0.0
2011-06-24,1.3953
2011-06-27,3.2124
2011-06-28,2.1652
2011-06-29,-0.1103
2011-06-30,0.3311
2011-07-01,-0.8801
2011-07-05,-2.1088
2011-07-06,-1.8141
2011-07-07,2.194
2011-07-11,-1.6935
2011-07-12,-1.6106
2011-07-13,-0.7009
2011-07-14,1.1764999999999999
2011-07-15,-1.1628
2011-07-18,-0.7059
2011-07-19,-1.5403
2011-07-20,0.4813
2011-07-21,-0.1198
2011-07-22,-0.0015
2011-07-25,-2.2887
2011-07-26,0.135
2011-07-27,-1.1029
2011-07-28,-1.487
2011-07-29,1.6352
2011-08-01,-0.8679
2011-08-02,-2.745
2011-08-03,3.466
2011-08-04,-12.9017
2011-08-05,-0.2867
2011-08-08,-5.0071
2011-08-09,-4.506
2011-08-10,0.002
2011-08-11,1.4173
2011-08-12,2.9193
2011-08-15,5.3108
2011-08-16,-1.1461000000000001
2011-08-17,5.0725
2011-08-18,-3.4483
2011-08-19,-1.4285999999999999
2011-08-22,-1.4493
