ticker,BABL US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2007-05-21,0.0
2007-06-13,-50.0
2007-09-10,0.0
2007-09-11,40.0
2007-09-18,-57.1429
2007-10-08,33.3333
2007-10-10,0.0
2007-10-16,0.0
2007-11-16,-75.0
2007-12-04,100.0
2008-01-15,-40.0
2008-01-22,0.0
2008-02-14,116.6667
2008-03-14,-53.8462
2008-03-17,66.6667
2008-03-18,-10.0
2008-03-19,0.0
2008-03-26,0.0
2008-03-27,44.4444
2008-03-31,23.0769
2008-04-01,43.75
2008-04-02,-13.0435
2008-04-03,-25.0
2008-04-04,20.0
2008-04-08,-16.6667
2008-04-09,60.0
2008-04-10,-4.1667
2008-04-11,-21.7391
2008-04-14,5.5556
2008-04-15,-5.2632
2008-04-16,5.5556
2008-04-17,-5.2632
2008-04-18,25.0
2008-04-21,-13.3333
2008-04-22,0.0
2008-04-28,-2.5641
2008-04-29,-15.7895
2008-04-30,0.0
2008-05-01,-6.25
2008-05-02,-33.3333
2008-05-06,35.0
2008-05-07,25.9259
2008-05-08,-8.8235
2008-05-09,29.0323
2008-05-12,-25.0
2008-05-13,10.0
2008-05-14,-9.0909
2008-05-20,20.0
2008-05-21,-11.1111
2008-05-23,-12.5
2008-05-29,0.0
2008-05-30,21.4286
2008-06-02,-23.5294
2008-06-04,-7.6923
2008-06-13,0.0
2008-06-16,16.6667
2008-06-18,-14.2857
2008-06-20,8.3333
2008-06-23,-7.6923
2008-06-26,0.0
2008-06-30,-20.8333
2008-07-02,26.3158
2008-07-03,0.0
2008-07-08,0.0
2008-07-09,0.0
2008-07-16,-33.3333
2008-07-18,37.5
2008-07-21,9.0909
2008-07-22,8.3333
2008-07-23,0.0
2008-07-25,-7.6923
2008-07-29,0.0
2008-07-30,8.3333
2008-07-31,0.0
2008-08-01,0.0
2008-08-04,-7.6923
2008-08-05,16.6667
2008-08-06,-7.1429
2008-08-07,-23.0769
2008-08-08,50.0
2008-08-11,0.0
2008-08-12,0.0
2008-08-13,6.6667
2008-08-15,12.5
2008-08-18,0.0
2008-08-19,-5.5556
2008-08-21,-5.8824
2008-08-26,-6.25
2008-08-29,20.0
2008-09-03,-16.6667
2008-09-09,26.6667
2008-09-18,-21.0526
2008-09-19,26.6667
2008-10-01,-21.0526
2008-10-02,0.0
2008-10-30,-6.6667
2008-11-17,-7.1429
2008-11-18,-46.1538
2008-11-24,107.1429
2008-11-25,-24.1379
2008-11-26,27.2727
2008-11-28,0.0
2008-12-01,-3.5714
