ticker,LTCP US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2011-02-24,45.0
2011-03-08,-13.7931
2011-03-25,60.0
2011-04-08,50.0
2011-07-06,-15.0
2011-07-07,0.0
2012-01-09,-50.9804
2012-02-06,104.0
2012-03-29,-80.3922
2012-04-18,450.0
2012-06-20,81.8182
2012-07-31,-49.0
2013-02-13,-78.4314
2013-03-20,110.1705
2013-03-21,116.2747
2013-04-10,-68.0
2013-04-11,0.0
2013-04-12,0.0
2013-04-15,-18.75
2013-04-16,-15.3846
2013-04-17,-8.1818
2013-04-23,18.8119
2013-09-05,-50.0
2013-09-06,0.0
2013-10-23,233.3333
2013-10-24,25.0
2013-10-25,8.0
2013-10-30,3.7037
2013-11-01,0.0
2013-11-05,0.0
2013-11-06,3.5714
2013-11-08,-44.8276
2013-11-11,87.5
2013-11-13,50.0
2013-11-27,22.2222
2013-11-29,81.8182
2013-12-06,0.0
2013-12-11,0.0
2013-12-13,0.0
2014-04-24,-70.0
2014-07-25,-33.3333
2015-04-02,-45.0
2015-04-07,-18.1818
2015-05-01,-22.2222
2015-05-04,42.8571
2015-05-05,-30.0
2015-09-08,-14.2857
2015-09-10,0.0
2016-03-29,34.6875
2017-02-01,11.3689
2017-05-23,11.1111
2017-08-22,-88.3
2017-08-23,-5.9829
2017-08-24,-13.6364
2017-08-28,5.2632
2017-09-01,2.0
2017-09-06,0.0
2017-10-05,0.0
2017-10-06,-0.9804
2017-10-09,0.9901
2017-10-10,-1.9607999999999999
2017-10-12,2.0
2017-10-13,-1.7647
2017-10-16,-0.1996
2017-10-19,2.0
2017-10-23,0.0
2017-10-24,1.9607999999999999
2017-10-25,25.0
2017-10-26,-7.6923
2017-10-27,0.0
2017-10-30,0.0
2017-10-31,-10.8333
2017-11-01,-0.9346
2017-11-02,20.7547
2017-11-03,3.9063
2017-11-06,23.3083
2017-11-07,-39.0244
2017-11-08,0.0
2017-11-09,108.0
2017-11-10,-29.9038
2017-11-13,-17.6955
2017-11-14,-8.3333
2017-11-15,-5.4545
2017-11-16,1.9231
2017-11-17,31.8868
2017-11-20,-14.1631
2017-11-21,-16.6667
2017-11-22,20.0
2017-11-24,-14.8333
2017-11-27,-21.7221
2017-11-28,37.5
2017-11-29,-8.9091
2017-11-30,5.7884
2017-12-01,-5.6604
2017-12-04,0.0
2017-12-06,-10.0
2017-12-07,33.3333
2017-12-08,-8.3333
2017-12-11,1.6364
2017-12-12,7.1556
2017-12-13,-16.3606
2017-12-14,0.0
