ticker,INZY US Equity
field,DAY_TO_DAY_TOT_RETURN_GROSS_DVDS
date,
2020-07-24,9.625
2020-07-27,4.9031
2020-07-28,-1.3043
2020-07-29,3.5242
2020-07-30,5.7447
2020-07-31,-1.6600000000000001
